o,h,l,c,v,ts
14719.5400390625,14769.5703125,14690.41015625,14707.4599609375,0,2026-03-26 07:30:00
14707.8095703125,14717.4404296875,14579.919921875,14584.9697265625,0,2026-03-26 08:30:00
14585.8203125,14612.0595703125,14566.3701171875,14590.5400390625,0,2026-03-26 09:30:00
14590.5400390625,14595.099609375,14542.0595703125,14552.1796875,0,2026-03-26 10:30:00
14552.1796875,14591.3701171875,14533.599609375,14562.6396484375,0,2026-03-26 11:30:00
14561.4296875,14564.33984375,14500.009765625,14517.4404296875,0,2026-03-26 12:30:00
14517.91015625,14583.25,14510.2001953125,14548.2197265625,0,2026-03-26 13:30:00
14543.6904296875,14563.009765625,14472.2802734375,14486.990234375,0,2026-03-26 14:30:00
14481.2001953125,14580.400390625,14481.2001953125,14514.2802734375,0,2026-03-27 06:30:00
14516.9697265625,14528.4404296875,14424.080078125,14464.669921875,0,2026-03-27 07:30:00
14463.6103515625,14480.23046875,14386.0400390625,14405.3203125,0,2026-03-27 08:30:00
14406.080078125,14438.0595703125,14348.4501953125,14427.240234375,0,2026-03-27 09:30:00
14427.599609375,14431.4697265625,14356.9404296875,14372.7900390625,0,2026-03-27 10:30:00
14372.8603515625,14406.1904296875,14365.4501953125,14383.8095703125,0,2026-03-27 11:30:00
14383.8095703125,14388.0703125,14342.759765625,14374.169921875,0,2026-03-27 12:30:00
14373.919921875,14418.490234375,14327.7001953125,14390.7900390625,0,2026-03-27 13:30:00
14390.830078125,14464.73046875,14372.1298828125,14443.5,0,2026-03-27 14:30:00
14453.6904296875,14488.650390625,14391.3701171875,14435.2900390625,0,2026-03-30 06:30:00
14436.23046875,14440.0595703125,14345.830078125,14416.66015625,0,2026-03-30 07:30:00
14418.6201171875,14446.080078125,14390.4501953125,14397.9501953125,0,2026-03-30 08:30:00
14398.8896484375,14403.01953125,14377.73046875,14392.5703125,0,2026-03-30 09:30:00
14391.0400390625,14450.5400390625,14388.4697265625,14445.16015625,0,2026-03-30 10:30:00
14444.91015625,14498.51953125,14442.2001953125,14456.08984375,0,2026-03-30 11:30:00
14457.669921875,14465.650390625,14403.2099609375,14435.400390625,0,2026-03-30 12:30:00
14434.1298828125,14436.0,14311.3798828125,14336.9599609375,0,2026-03-30 13:30:00
14337.4296875,14366.8798828125,14326.73046875,14334.5498046875,0,2026-03-30 14:30:00
14318.58984375,14405.6396484375,14318.58984375,14394.9501953125,0,2026-03-31 06:30:00
14394.2099609375,14542.5703125,14385.8896484375,14460.6396484375,0,2026-03-31 07:30:00
14461.259765625,14464.3603515625,14382.509765625,14413.1298828125,0,2026-03-31 08:30:00
14412.8603515625,14427.9296875,14359.5302734375,14359.5302734375,0,2026-03-31 09:30:00
14360.1103515625,14401.2001953125,14327.3095703125,14393.7802734375,0,2026-03-31 10:30:00
14394.0302734375,14451.900390625,14375.150390625,14402.6796875,0,2026-03-31 11:30:00
14401.0400390625,14485.0703125,14401.0400390625,14472.8603515625,0,2026-03-31 12:30:00
14471.099609375,14567.73046875,14449.0498046875,14566.41015625,0,2026-03-31 13:30:00
14566.849609375,14604.3603515625,14519.4501953125,14524.349609375,0,2026-03-31 14:30:00
14518.0302734375,14818.5400390625,14518.0302734375,14768.669921875,0,2026-04-01 06:30:00
14770.2099609375,14793.509765625,14706.8203125,14712.73046875,0,2026-04-01 07:30:00
14711.01953125,14736.4599609375,14655.6904296875,14681.8603515625,0,2026-04-01 08:30:00
14680.3603515625,14689.150390625,14661.2001953125,14673.4501953125,0,2026-04-01 09:30:00
14674.650390625,14709.919921875,14670.4404296875,14694.5498046875,0,2026-04-01 10:30:00
14694.6396484375,14698.9404296875,14640.1396484375,14663.2197265625,0,2026-04-01 11:30:00
14663.3095703125,14715.2998046875,14627.0400390625,14671.91015625,0,2026-04-01 12:30:00
14671.9296875,14709.2099609375,14659.490234375,14683.1103515625,0,2026-04-01 13:30:00
14683.4697265625,14736.0595703125,14677.849609375,14703.98046875,0,2026-04-01 14:30:00
14686.7802734375,14686.7802734375,14555.419921875,14659.5,0,2026-04-02 06:30:00
14662.400390625,14721.73046875,14644.0595703125,14680.6298828125,0,2026-04-02 07:30:00
14679.98046875,14734.9599609375,14678.8603515625,14731.3701171875,0,2026-04-02 08:30:00
14732.099609375,14736.4296875,14670.01953125,14681.259765625,0,2026-04-02 09:30:00
14680.66015625,14729.3203125,14678.33984375,14716.7802734375,0,2026-04-02 10:30:00
14714.900390625,14761.76953125,14710.7197265625,14733.099609375,0,2026-04-02 11:30:00
14736.3798828125,14771.900390625,14710.0400390625,14731.259765625,0,2026-04-02 12:30:00
