o,h,l,c,v,ts
7581.25,7593.0,7581.25,7591.75,1225,2026-06-16 22:00:00
7591.75,7595.5,7590.25,7593.5,1809,2026-06-16 22:15:00
7593.75,7596.75,7590.75,7593.75,1704,2026-06-16 22:30:00
7593.5,7597.5,7592.75,7596.5,1225,2026-06-16 22:45:00
7596.5,7596.75,7590.5,7593.75,1369,2026-06-16 23:00:00
7593.5,7594.0,7591.25,7592.0,708,2026-06-16 23:15:00
7592.0,7594.75,7590.0,7592.25,1234,2026-06-16 23:30:00
7591.75,7594.5,7589.25,7591.75,1359,2026-06-16 23:45:00
7592.0,7598.75,7592.0,7594.75,2781,2026-06-17 00:00:00
7595.0,7599.5,7594.25,7597.5,1924,2026-06-17 00:15:00
7597.25,7600.5,7596.25,7598.25,1379,2026-06-17 00:30:00
7598.25,7598.75,7595.25,7597.0,1217,2026-06-17 00:45:00
7597.0,7602.75,7595.25,7601.0,2374,2026-06-17 01:00:00
7601.0,7604.25,7599.75,7603.25,1792,2026-06-17 01:15:00
7603.25,7605.25,7602.0,7602.5,1819,2026-06-17 01:30:00
7602.5,7605.5,7602.5,7605.5,1640,2026-06-17 01:45:00
7605.25,7605.5,7603.25,7605.0,1632,2026-06-17 02:00:00
7605.0,7605.75,7603.75,7604.0,1757,2026-06-17 02:15:00
7603.75,7604.0,7601.5,7603.25,1146,2026-06-17 02:30:00
7603.25,7603.5,7601.25,7602.5,825,2026-06-17 02:45:00
7602.5,7605.25,7601.0,7601.25,1110,2026-06-17 03:00:00
7601.25,7601.75,7598.75,7601.0,936,2026-06-17 03:15:00
7601.0,7605.5,7600.25,7604.5,1120,2026-06-17 03:30:00
7604.25,7606.25,7604.0,7606.0,887,2026-06-17 03:45:00
7605.25,7605.75,7604.5,7604.75,915,2026-06-17 04:00:00
7604.75,7606.5,7604.5,7605.5,732,2026-06-17 04:15:00
7605.25,7606.0,7601.0,7601.5,1131,2026-06-17 04:30:00
7601.5,7606.25,7601.5,7606.0,1029,2026-06-17 04:45:00
7606.0,7607.5,7605.0,7605.5,1480,2026-06-17 05:00:00
7605.5,7607.0,7604.0,7604.5,1554,2026-06-17 05:15:00
7604.5,7608.0,7603.75,7605.75,1797,2026-06-17 05:30:00
7605.75,7607.5,7603.0,7604.0,1103,2026-06-17 05:45:00
7603.75,7607.25,7603.0,7605.5,1656,2026-06-17 06:00:00
7605.5,7606.25,7602.25,7602.75,2353,2026-06-17 06:15:00
7602.75,7608.0,7601.25,7608.0,2685,2026-06-17 06:30:00
7608.0,7609.25,7607.0,7609.0,1864,2026-06-17 06:45:00
7608.75,7612.0,7608.25,7611.75,4232,2026-06-17 07:00:00
7611.5,7612.5,7603.5,7604.75,3687,2026-06-17 07:15:00
7604.75,7608.25,7603.25,7606.25,2810,2026-06-17 07:30:00
7606.25,7607.0,7604.25,7605.75,2889,2026-06-17 07:45:00
7605.75,7608.25,7597.75,7598.5,4775,2026-06-17 08:00:00
7598.75,7602.25,7598.0,7599.5,3137,2026-06-17 08:15:00
7599.5,7600.5,7593.5,7594.0,5021,2026-06-17 08:30:00
7594.0,7600.0,7591.75,7599.75,4825,2026-06-17 08:45:00
7600.0,7601.0,7596.5,7598.0,3492,2026-06-17 09:00:00
7598.25,7601.75,7597.25,7601.0,3440,2026-06-17 09:15:00
7601.0,7602.75,7596.0,7597.25,3083,2026-06-17 09:30:00
7597.25,7598.25,7590.5,7592.25,4206,2026-06-17 09:45:00
