Date,Open,High,Low,Close
2026-01-27,13225.0,13263.0,13053.900390625,13107.0
2026-01-28,13150.099609375,13512.400390625,13144.2001953125,13407.400390625
2026-01-29,13502.2998046875,13906.5,13480.599609375,13831.099609375
2026-01-30,13827.400390625,13876.7998046875,13649.099609375,13838.2998046875
2026-02-02,13598.400390625,13873.900390625,13393.7998046875,13621.0
2026-02-03,13725.5,13926.599609375,13660.7998046875,13875.2998046875
2026-02-04,13964.0,13998.2001953125,13835.0,13891.2001953125
2026-02-05,13867.099609375,13977.900390625,13589.099609375,13589.099609375
2026-02-06,13585.599609375,13628.0,13402.599609375,13522.0
2026-02-09,13641.5,13858.2001953125,13620.599609375,13838.400390625
2026-02-10,13855.7998046875,13888.2001953125,13726.2001953125,13797.0
2026-02-11,13729.400390625,13912.900390625,13680.900390625,13787.7998046875
2026-02-12,13795.0,14196.900390625,13784.7998046875,14180.5
2026-02-13,14159.0,14320.900390625,14109.2001953125,14180.7001953125
2026-02-16,14269.2001953125,14433.2001953125,14208.0,14339.2998046875
2026-02-17,14314.099609375,14409.2998046875,14227.2998046875,14227.2998046875
2026-02-18,14260.7998046875,14532.7001953125,14154.2001953125,14259.900390625
2026-02-19,14340.2998046875,14343.099609375,13728.599609375,13804.2001953125
2026-02-20,13782.5,13934.099609375,13718.099609375,13934.099609375
2026-02-23,14092.2001953125,14190.099609375,14020.0,14061.7001953125
2026-02-24,14011.2001953125,14093.0,13897.2001953125,14050.7998046875
2026-02-25,14049.599609375,14068.2998046875,13752.7998046875,13809.900390625
2026-02-26,13780.099609375,13906.099609375,13652.400390625,13878.5
2026-02-27,13889.7001953125,13967.2001953125,13552.7998046875,13717.7998046875
2026-03-02,12987.400390625,13456.599609375,12987.400390625,13346.400390625
2026-03-03,13296.0,13380.0,12905.5,12933.400390625
2026-03-04,12916.7001953125,13086.2001953125,12824.7998046875,12943.2001953125
2026-03-05,13062.599609375,13202.599609375,13048.0,13078.900390625
2026-03-06,13080.900390625,13148.7001953125,12746.2001953125,12792.7998046875
2026-03-09,12602.7001953125,12717.599609375,12433.0,12702.0
2026-03-10,12951.599609375,13199.5,12904.099609375,13175.7001953125
2026-03-11,13188.7001953125,13269.5,13032.5,13200.400390625
