tarih,gsyh_bin_tl,usdtry_ceyrek_ort,usdtry_ceyrek_son,gsyh_mn_tl,gsyh_mn_usd,gsyh4_mn_usd,gsyh4_mn_usd_nokta,cari12_mn_usd,cekirdek12_mn_usd,cari_gsyh,cekirdek_gsyh
2015-03-31,501740757.863902,2.4578444444444445,2.6102,501740.75786390196,204138.53244374553,940180.6740814401,907664.5041990913,-30404.0,17461.99,-3.2338465188837047,1.8573015252691116
2015-06-30,567197911.838763,2.6663403225806452,2.6863,567197.911838763,212725.25004977407,919637.1330818704,886829.5939127129,-29620.0,11891.8,-3.2208355811751557,1.293096980561064
2015-09-30,634163127.850709,2.8427349206349204,3.0433,634163.127850709,223082.0479417299,887362.8039410263,853005.7769028374,-26778.0,9682.169999999998,-3.0177059350551336,1.0911174050792725
2015-12-31,650957329.41532,2.906376923076923,2.9076,650957.3294153201,223975.53608640842,863921.3665216579,835629.1840185886,-21352.0,8198.22,-2.4715212318417312,0.9489544208181677
2016-03-31,570866259.930324,2.9437953125,2.8334,570866.2599303239,193921.85914091946,853704.6932188318,844883.5442375237,-19402.0,7502.359999999997,-2.272682832144938,0.8788003696820373
2016-06-30,637798573.2920791,2.8931515625,2.8936,637798.5732920791,220451.1445438936,861430.5877129515,854155.8598768377,-19767.0,4534.299999999998,-2.2946712459422,0.5263685855453895
2016-09-30,670039064.862309,2.960358620689655,2.9959,670039.064862309,226337.12692086422,864685.6666920858,869427.7825968482,-22911.0,-1300.0600000000013,-2.6496333734370316,-0.15035058982456245
2016-12-31,751284073.421079,3.277955384615385,3.5318,751284.0734210791,229192.89168703256,869903.0222927099,858266.3417835042,-22165.0,129.72999999999888,-2.5479851698390577,0.014913156601994952
2017-03-31,660893768.1913071,3.6912523076923076,3.6386,660893.7681913071,179043.23874422006,855024.4018960104,838422.9543352688,-22546.0,4506.739999999999,-2.6368838070591214,0.5270890503249189
2017-06-30,743962431.0393981,3.5786491803278686,3.5071,743962.4310393981,207889.17648844185,842462.4338405586,830136.347316631,-23868.0,8843.71,-2.833123358532705,1.0497453233236662
2017-09-30,844119989.315872,3.5115015384615385,3.572,844119.989315872,240387.1905138616,856512.497433556,842800.1210944382,-27842.0,10998.409999999998,-3.250623906063886,1.2840921799688276
2017-12-31,902552964.3439232,3.7955476923076925,3.8104,902552.9643439233,237792.54998510404,865112.1557316275,866945.9147794213,-35141.0,7685.6799999999985,-4.062016672310097,0.8884027289502365
2018-03-31,809483219.5285649,3.8108123076923075,3.9949,809483.219528565,212417.4989921661,898486.4159795736,887940.9905441962,-43578.0,4364.469999999998,-4.850156799809727,0.48575803956275077
2018-06-30,908772012.41503,4.3567078125,4.6083,908772.01241503,208591.45288734694,899188.6923784787,873013.9273456689,-46074.0,3742.159999999999,-5.1239523350908565,0.4161707138577852
2018-09-30,1047448535.16651,5.582285,6.0752,1047448.53516651,187637.95384264868,846439.4557072658,809111.9766489636,-33907.0,14083.669999999998,-4.00583878402361,1.6638721062727397
2018-12-31,1040775452.24834,5.516178461538462,5.2609,1040775.45224834,188676.90005048673,797323.8057726485,770078.5085572463,-14608.0,31919.68,-1.8321289160360743,4.003352185009471
2019-03-31,948043693.090981,5.359498412698413,5.5423,948043.693090981,176890.3766898697,761796.6834703521,738505.3558826909,509.0,44425.2,0.06681572800780111,5.831634734562211
2019-06-30,1051610271.78976,5.872365,5.7665,1051610.27178976,179077.81137408182,732283.0419570869,723667.4795276452,14916.0,56125.47,2.0369173045624214,7.664450326474863
2019-09-30,1178523775.71783,5.672177049180328,5.6591,1178523.77571783,207772.74148876147,752417.8296031997,759506.5065145924,20230.0,61122.6,2.6886656860149944,8.123491708354923
2019-12-31,1223872570.25994,5.785284615384615,5.9402,1223872.5702599399,211549.2411566643,775290.1707093773,767706.516701818,15013.0,57567.79,1.9364362618274087,7.425321792397607
2020-03-31,1095834093.20798,6.09385,6.516,1095834.0932079798,179826.23353183616,778226.0275513438,764826.4013932596,8628.0,52788.22,1.1086753326854986,6.783147585810766
2020-06-30,1061245901.35972,6.852923333333334,6.8422,1061245.90135972,154860.32014946223,754008.5363267241,737563.9905962996,-3916.0,37281.01,-0.5193575153774033,4.944375057293189
2020-09-30,1440508562.2707,7.207746031746032,7.808,1440508.5622707,199855.6214281243,746091.416266087,713802.4908191857,-23464.0,23344.059999999998,-3.1449229261246145,3.1288471480919093
2020-12-31,1544122044.10238,7.861627692307692,7.3405,1544122.04410238,196412.5120823574,730954.6871917801,718126.7959202739,-31024.0,15585.79,-4.244312341602135,2.1322511878100547
2021-03-31,1439485730.2545,7.377400000000001,8.326,1439485.7302545,195121.0087909697,746249.4624509136,722841.338056003,-31174.0,11857.64,-4.177423444650126,1.5889646286720058
2021-06-30,1633315779.80098,8.36955737704918,8.7052,1633315.7798009801,195149.60065628125,786538.7429577326,755363.617533,-25126.0,19183.15,-3.194502524505679,2.4389326236954196
2021-09-30,1975578633.13683,8.527856666666667,8.8433,1975578.63313683,231661.80089059073,818344.9224201991,794270.6050553779,-11793.0,28660.52,-1.4410793880315171,3.5022542713698854
2021-12-31,2385419765.0929,11.161016923076923,12.9775,2385419.7650929,213727.81544311787,835660.2257809596,767726.0479994421,-7068.0,37129.37,-0.8457983019826816,4.443118010708365
2022-03-31,2589636478.47121,13.927125,14.6458,2589636.47847121,185941.92832125872,826481.1453112485,771653.3036669865,-18184.0,40840.47,-2.2001711839599194,4.94148840922677
2022-06-30,3502565413.44039,15.783759016393443,16.669,3502565.41344039,221909.45831107342,853241.0029660407,794152.5089469653,-24519.0,47785.4,-2.8736312383918405,5.6004575300399475
2022-09-30,4351145687.05226,17.920240322580646,18.5038,4351145.68705226,242806.2129038269,864385.414979277,805902.9217667753,-37475.0,50475.619999999995,-4.335450292263253,5.839480760004507
