tarih,borc_odeme_top,borc_odeme_haz,borc_odeme_dgr,borc_odeme_tcmb
2021-02-17,550.54,547.42,2.27,0.85
2021-02-24,313.31,306.74,6.56,0.01
2021-03-03,282.18,273.18,8.4,0.6
2021-03-10,116.35,116.24,0.11,0.0
2021-03-17,3618.39,3594.59,23.77,0.03
2021-03-24,229.72,226.48,3.11,0.13
2021-03-31,2425.7,2407.66,17.44,0.6
2021-04-07,116.69,104.05,12.62,0.02
2021-04-14,447.47,435.54,11.6,0.33
2021-04-21,275.12,273.54,1.27,0.31
2021-04-28,323.98,321.97,2.01,0.0
2021-05-05,139.47,131.76,7.6,0.11
2021-05-12,320.31,319.03,1.28,0.0
2021-05-19,290.7,232.42,58.26,0.02
2021-05-26,150.01,149.5,0.51,0.0
2021-06-02,3163.0,3158.42,4.58,0.0
2021-06-09,1242.72,1198.02,44.16,0.54
2021-06-16,112.29,110.42,1.63,0.24
2021-06-23,230.22,210.08,20.14,0.0
2021-06-30,190.8,188.36,2.44,0.0
2021-07-07,43.1,37.27,5.52,0.31
2021-07-14,203.53,201.0,2.53,0.0
2021-07-21,2741.18,2738.87,2.23,0.08
2021-07-28,165.14,164.91,0.0,0.23
2021-08-04,177.57,154.32,23.15,0.1
2021-08-11,318.93,318.68,0.25,0.0
2021-08-18,459.37,459.33,0.04,0.0
2021-08-25,187.71,185.1,2.46,0.15
2021-09-01,182.5,173.15,9.35,0.0
2021-09-08,188.86,187.68,0.85,0.33
2021-09-15,212.99,204.34,8.63,0.02
2021-09-22,231.55,228.34,3.2,0.01
2021-09-29,329.98,222.78,107.2,0.0
2021-10-06,140.79,118.85,21.83,0.11
2021-10-13,159.53,157.93,1.57,0.03
2021-10-20,322.96,321.89,1.07,0.0
2021-10-27,404.6,403.24,1.36,0.0
2021-11-03,42.01,38.17,3.84,0.0
2021-11-10,140.71,140.46,0.25,0.0
2021-11-17,2030.05,1898.04,131.91,0.1
2021-11-24,94.16,62.81,31.0,0.35
2021-12-01,217.88,214.6,3.28,0.0
2021-12-08,117.79,96.37,21.42,0.0
2021-12-15,179.92,178.87,1.05,0.0
2021-12-22,1607.34,1571.15,35.99,0.2
2021-12-29,217.11,213.01,3.66,0.44
2022-01-05,150.7,136.28,14.4,0.02
2022-01-12,184.55,180.96,3.59,0.0
2022-01-19,486.14,486.06,0.08,0.0
2022-01-26,140.18,130.86,9.25,0.07
2022-02-02,78.86,76.35,2.33,0.18
2022-02-09,443.57,443.1,0.15,0.32
2022-02-16,489.72,487.76,1.87,0.09
2022-02-23,2407.22,2382.8,24.42,0.0
2022-03-02,1399.94,1334.51,65.43,0.0
2022-03-09,107.66,107.56,0.1,0.0
2022-03-16,1348.97,1327.15,21.8,0.02
2022-03-23,513.2,511.12,2.08,0.0
2022-03-30,1286.32,1282.99,3.16,0.17
2022-04-06,307.61,282.08,25.53,0.0
2022-04-13,122.94,122.75,0.19,0.0
2022-04-20,293.65,208.13,85.3,0.22
2022-04-27,491.72,475.43,16.26,0.03
2022-05-04,13.64,9.76,3.54,0.34
2022-05-11,223.19,222.97,0.06,0.16
2022-05-18,349.51,344.38,5.13,0.0
2022-05-25,345.03,344.1,0.64,0.29
2022-06-01,232.41,216.28,15.96,0.11
2022-06-08,27.74,26.28,1.46,0.0
2022-06-15,96.16,92.4,3.46,0.3
2022-06-22,250.7,202.23,47.71,0.76
2022-06-29,300.27,276.24,23.64,0.39
2022-07-06,74.4,69.59,4.21,0.6
2022-07-13,100.65,99.64,0.66,0.35
2022-07-20,551.33,550.22,0.84,0.27
2022-07-27,197.3,195.76,1.12,0.42
2022-08-03,146.67,139.36,7.1,0.21
2022-08-10,378.05,374.7,3.35,0.0
2022-08-17,3509.5,3492.76,16.74,0.0
2022-08-24,176.86,138.84,38.02,0.0
2022-08-31,112.69,111.64,1.05,0.0
2022-09-07,146.62,138.2,8.37,0.05
2022-09-14,486.68,485.25,1.31,0.12
2022-09-21,289.25,288.58,0.55,0.12
2022-09-28,2876.11,2874.39,1.3,0.42
2022-10-05,364.42,336.92,27.3,0.2
2022-10-12,261.87,257.27,4.36,0.24
2022-10-19,469.46,457.45,12.0,0.01
2022-10-26,590.64,584.76,5.61,0.27
2022-11-02,190.31,188.32,1.85,0.14
2022-11-09,318.22,304.72,13.41,0.09
2022-11-16,662.04,654.44,7.51,0.09
2022-11-23,148.02,143.74,3.87,0.41
2022-11-30,287.95,279.3,8.4,0.25
2022-12-07,211.64,197.27,14.37,0.0
2022-12-14,95.48,87.03,2.93,5.52
2022-12-21,229.39,222.06,7.24,0.09
2022-12-28,222.86,196.7,26.16,0.0
2023-01-04,196.34,180.89,15.32,0.13
2023-01-11,267.51,267.32,0.01,0.18
2023-01-18,456.05,455.76,0.07,0.22
2023-01-25,214.37,203.42,1.65,0.2
2023-02-01,123.16,121.33,1.81,0.02
2023-02-08,291.62,291.43,0.19,0.0
2023-02-15,429.9,420.48,9.39,0.03
2023-02-22,290.86,280.67,10.13,0.06
2023-03-01,222.38,215.36,7.02,0.0
2023-03-08,284.76,231.66,53.07,0.03
2023-03-15,303.19,302.8,0.39,0.0
2023-03-22,499.55,494.3,5.14,0.11
2023-03-29,1899.22,1892.53,6.28,0.41
2023-04-05,1542.26,1539.13,2.85,0.28
2023-04-12,1296.51,1279.18,17.18,0.15
2023-04-19,425.73,418.39,7.33,0.01
2023-04-26,434.57,429.44,4.64,0.49
2023-05-03,119.13,113.48,5.24,0.41
2023-05-10,169.45,151.27,18.07,0.11
2023-05-17,514.6,513.23,1.17,0.2
2023-05-24,61.48,60.93,0.55,0.0
2023-05-31,121.36,118.68,2.33,0.35
2023-06-07,122.72,108.5,14.18,0.04
2023-06-14,152.62,148.12,4.5,0.0
2023-06-21,270.77,269.0,1.58,0.19
2023-06-28,233.82,233.26,0.49,0.07
2023-07-05,199.67,116.64,80.58,0.37
2023-07-12,182.38,181.64,0.31,0.43
2023-07-19,3509.61,3508.9,0.56,0.15
2023-07-26,3178.75,3177.57,1.18,0.0
2023-08-02,252.78,95.25,157.47,0.06
2023-08-09,285.77,283.16,2.61,0.0
2023-08-16,395.4,394.5,0.83,0.07
2023-08-23,335.95,334.02,1.93,0.0
2023-08-30,3070.27,3068.49,1.78,0.0
2023-09-06,173.83,160.8,13.03,0.0
2023-09-13,290.64,261.78,28.86,0.0
2023-09-20,365.37,364.34,0.93,0.1
2023-09-27,361.13,354.66,6.47,0.0
2023-10-04,142.02,125.39,16.63,0.0
2023-10-11,222.73,222.48,0.06,0.19
2023-10-18,315.47,313.3,2.08,0.09
2023-10-25,374.96,373.89,0.53,0.54
2023-11-01,217.95,211.94,5.5,0.51
2023-11-08,198.54,193.31,5.12,0.11
2023-11-15,602.18,599.5,1.92,0.76
2023-11-22,244.08,240.35,3.58,0.15
2023-11-29,139.54,132.85,6.69,0.0
2023-12-06,123.07,113.72,8.16,1.19
2023-12-13,25.78,18.08,7.69,0.01
2023-12-20,275.61,270.02,5.02,0.57
2023-12-27,2343.63,2304.82,38.68,0.13
2024-01-03,240.28,212.51,27.77,0.0
2024-01-10,64.92,64.83,0.0,0.09
2024-01-17,640.49,639.89,0.09,0.51
2024-01-24,332.06,330.85,1.03,0.18
2024-01-31,176.52,176.14,0.35,0.03
2024-02-07,1456.56,1441.08,15.47,0.01
2024-02-14,268.4,266.48,0.62,1.3
2024-02-21,501.72,498.42,3.09,0.21
2024-02-28,314.64,285.04,29.53,0.07
2024-03-06,142.18,102.86,39.29,0.03
2024-03-13,313.62,308.29,4.57,0.76
2024-03-20,362.52,360.98,1.12,0.42
2024-03-27,2829.26,2824.3,4.78,0.18
2024-04-03,139.24,126.29,12.56,0.39
2024-04-10,240.71,221.79,18.66,0.26
2024-04-17,234.31,234.3,0.0,0.01
2024-04-24,5041.64,5040.82,0.67,0.15
2024-05-01,321.21,316.57,4.64,0.0
2024-05-08,97.02,70.41,26.61,0.0
2024-05-15,690.32,684.73,5.4,0.19
2024-05-22,253.56,68.11,184.99,0.46
