tarih,TP.AB.A01,TP.AB.A02,TP.AB.A03,TP.AB.A04,TP.AB.A05,TP.AB.A051,TP.AB.A052,TP.AB.A053,TP.AB.A054,TP.AB.A06,TP.AB.A061,TP.AB.A07,TP.AB.A08,TP.AB.A081,TP.AB.A09,TP.AB.A10,TP.AB.A11,TP.AB.A12,TP.AB.A13,TP.AB.A14,TP.AB.A15,TP.AB.A16,TP.AB.A17,TP.AB.A18,TP.AB.A19,TP.AB.A20,TP.AB.A21,TP.AB.A22,TP.AB.A23,TP.AB.A24,TP.AB.A25
2026-03-03,11370741461.00000000,9133535038.00000000,4112292503.00000000,,309978798.00000000,316113704.00000000,,,-6134906.00000000,1022339606.00000000,0.00000000,2779974099.00000000,-1875086081.00000000,,11370741461.00000000,5851066724.00000000,709376507.00000000,5141690217.00000000,471388699.00000000,4670301518.00000000,5519674736.00000000,4209150544.00000000,899686133.00000000,3301654406.00000000,1111666365.00000000,2189988040.00000000,476193.00000000,7333812.00000000,1310524193.00000000,512877351.00000000,797646842.00000000
2026-03-04,11243078917.00000000,8928908209.00000000,4133522035.00000000,,329427138.00000000,335748519.00000000,,,-6321381.00000000,1023222969.00000000,0.00000000,2780871929.00000000,-1819351327.00000000,,11243078917.00000000,5877438191.00000000,701924906.00000000,5175513286.00000000,515429213.00000000,4660084073.00000000,5365640726.00000000,4248881144.00000000,901311505.00000000,3339756234.00000000,1111666365.00000000,2228089869.00000000,479609.00000000,7333796.00000000,1116759581.00000000,230741240.00000000,886018341.00000000
2026-03-05,11273137866.00000000,8912958243.00000000,4156390005.00000000,,350304493.00000000,356830572.00000000,,,-6526078.00000000,1024370890.00000000,0.00000000,2781714621.00000000,-1796210382.00000000,,11273137866.00000000,5833090205.00000000,700995180.00000000,5132095025.00000000,510400850.00000000,4621694175.00000000,5440047661.00000000,4344866981.00000000,904384450.00000000,3432775641.00000000,1111666365.00000000,2321109275.00000000,373099.00000000,7333791.00000000,1095180681.00000000,147639940.00000000,947540741.00000000
2026-03-06,11215028482.00000000,8788913941.00000000,4173269889.00000000,,369303413.00000000,376185393.00000000,,,-6881980.00000000,1021811708.00000000,0.00000000,2782154768.00000000,-1747155348.00000000,,11215028482.00000000,5744765237.00000000,698927445.00000000,5045837792.00000000,507648648.00000000,4538189144.00000000,5470263245.00000000,4370117474.00000000,919439302.00000000,3442859230.00000000,1111666365.00000000,2331192864.00000000,367598.00000000,7451344.00000000,1100145772.00000000,146940545.00000000,953205227.00000000
2026-03-09,10981781235.00000000,8534381582.00000000,4201194943.00000000,,390738563.00000000,398169451.00000000,,,-7430888.00000000,1025240223.00000000,0.00000000,2785216157.00000000,-1753795289.00000000,,10981781235.00000000,5824846946.00000000,697242481.00000000,5127604465.00000000,511650565.00000000,4615953900.00000000,5156934289.00000000,4249577642.00000000,908376665.00000000,3333385743.00000000,1111666365.00000000,2221719378.00000000,363906.00000000,7451328.00000000,907356646.00000000,-100294829.00000000,1007651475.00000000
2026-03-10,10904414422.00000000,8520734889.00000000,4207884735.00000000,,390335267.00000000,398169451.00000000,,,-7834184.00000000,1031132330.00000000,0.00000000,2786417138.00000000,-1824205201.00000000,,10904414422.00000000,5929176863.00000000,700239002.00000000,5228937861.00000000,515998982.00000000,4712938879.00000000,4975237559.00000000,4231657308.00000000,904852498.00000000,3318982712.00000000,1111666365.00000000,2207316347.00000000,370551.00000000,7451547.00000000,743580251.00000000,-220254229.00000000,963834480.00000000
2026-03-11,11021541923.00000000,8625290089.00000000,4218979338.00000000,,402230988.00000000,410310759.00000000,,,-8079771.00000000,1031560600.00000000,0.00000000,2785187750.00000000,-1822727504.00000000,,11021541923.00000000,5895225745.00000000,706574146.00000000,5188651599.00000000,514779741.00000000,4673871858.00000000,5126316178.00000000,4328701159.00000000,901486649.00000000,3419385419.00000000,1111666365.00000000,2307719054.00000000,374559.00000000,7454532.00000000,797615019.00000000,-38625929.00000000,836240947.00000000
2026-03-12,11037831443.00000000,8644016312.00000000,4220629095.00000000,,402050264.00000000,410310759.00000000,,,-8260495.00000000,1032991682.00000000,0.00000000,2785587149.00000000,-1826813964.00000000,,11037831443.00000000,5843957123.00000000,721551541.00000000,5122405581.00000000,502221510.00000000,4620184072.00000000,5193874321.00000000,4374143683.00000000,904663740.00000000,3461643373.00000000,1111666365.00000000,2349977008.00000000,382053.00000000,7454517.00000000,819730637.00000000,306629031.00000000,513101606.00000000
2026-03-13,10921563951.00000000,8457417033.00000000,4221135860.00000000,,401906801.00000000,410310759.00000000,,,-8403959.00000000,1033498908.00000000,0.00000000,2785730151.00000000,-1756988942.00000000,,10921563951.00000000,5845790772.00000000,718519000.00000000,5127271771.00000000,496612318.00000000,4630659453.00000000,5075773179.00000000,4574109713.00000000,937021263.00000000,3629079960.00000000,1127399668.00000000,2501680292.00000000,369113.00000000,7639377.00000000,501663466.00000000,258370771.00000000,243292695.00000000
2026-03-16,10719183252.00000000,8184052219.00000000,4227229340.00000000,,402538334.00000000,410310759.00000000,,,-7772426.00000000,1037832449.00000000,0.00000000,2786858558.00000000,-1692098306.00000000,,10719183252.00000000,5888360190.00000000,700413730.00000000,5187946460.00000000,492055191.00000000,4695891269.00000000,4830823062.00000000,4531193022.00000000,963395479.00000000,3559812412.00000000,1127399668.00000000,2432412744.00000000,345713.00000000,7639418.00000000,299630039.00000000,122591171.00000000,177038868.00000000
