tarih,altin_ons_mn,altin_fiyat,altin_fiyat_kaynak,ons_kaynak,altin_deger_seviye,altin_deger_ima,altin_fiyat_etkisi,altin_miktar_etkisi,doviz_rezerv,swap_capa_revizyon,net_alim_satim,net_alim_satim_altin_haric,kumulatif
2023-04-18,24.7638340777097,2022.39,agort03,ara_deger,52.63255969529087,50.082130400419324,-0.18275709549350028,-0.27300042149258164,66.06944142196903,-0.0,-2.082409293513178,-1.8094088720205963,
2023-04-19,24.62835066993873,2015.01,agort03,ara_deger,50.99137499089616,49.626372883433234,0.0,-0.27300042149258164,66.9815944231596,-0.0,0.6486115969155204,0.921612018408102,
2023-04-20,24.49286726216776,2015.01,ffill,ara_deger,50.99137499089616,49.35337246194066,0.7117627226385937,-1.107750277289624,64.98197730813922,-0.0,-3.1997816799532357,-2.0920314026636118,
2023-04-24,23.95093363108388,2044.07,agort03,ara_deger,51.72676060051369,48.95738490728963,0.5479973614791963,-0.28003742969221307,63.10413661457175,-0.0,-2.206653512340732,-1.9266160826485188,
2023-04-25,23.815450223312908,2066.95,agort03,ara_deger,52.305756565690885,49.22534483907661,0.11526677908083793,-0.2806931693858173,63.50099659169896,-0.0,-0.6710902656789635,-0.3903970962931462,
2023-04-26,23.67996681554194,2071.79,agort03,ara_deger,50.63984847717877,49.05991844877163,0.2763452127373761,-0.2822742607545045,65.39249813317483,-0.0,-0.857116096475857,-0.5748418357213525,
2023-04-27,23.54448340777097,2083.46,agort03,ara_deger,50.92509313601421,49.0539894007545,0.16740127702925459,-0.2832375477837561,63.33216462503691,-0.0,-0.5665460561714877,-0.2833085083877316,
2023-04-28,23.409,2090.57,agort03,irfcl_pdf,51.09887972764404,48.938153129999996,-1.2544883100000033,-1.6187095111357581,64.00391331978403,-0.0,0.719159775629326,2.337869286765084,
2023-05-02,22.614338534921423,2036.98,agort03,ara_deger,49.789003012392,46.06495530886424,1.1506175446568045,-0.8295709432394854,62.504610960967256,0.0547018399999998,-1.1888213324490868,-0.3592503892096014,
2023-05-03,22.21700780238213,2087.86,agort03,ara_deger,46.3528349588868,46.38600191028156,0.9886568472060049,-0.8472521608374688,65.75807048573878,-0.0,-1.1164451820396277,-0.26919302120215893,
2023-05-04,21.819677069842847,2132.36,agort03,ara_deger,47.3407848959853,46.527406596650096,0.04058459934990055,-0.8479911959999994,66.30076587734106,-0.0,-0.8254294195813723,0.02256177641862711,
2023-05-05,21.42234633730356,2134.22,agort03,ima,47.382078983243794,45.72,0.5674779544751763,0.6117775609392105,66.48040659472034,-0.0,-1.4518383228183662,-2.063615883757577,
