Tarih,usdtry,net_dis_varlik_usd,kamu_doviz_mev_usd,brut_usd,swap_toplam_usd,swap_yerli_usd,swap_yabanci_usd,swap_capa_tarih,swap_capa_tipi,swap_haric_usd,swap_capa_revizyon,altin_fiyat,altin_fiyat_kaynak,ons,ons_kaynak,altin_fiyat_etkisi,altin_miktar_etkisi,altin_deger_ima,bennet_fark,net_doviz_alimi,net_doviz_alimi_altin_haric,net_doviz_alimi_birikimli,altin_fiyat_etkisi_birikimli,akim_gecici,altin_usd,doviz_usd,eski_net_rezerv_usd,eski_swap_haric_usd,analitik_dis_varlik_usd,tanim_farki,net_rezerv_usd,swap_haric_net_rezerv_usd,swap_duzeltme_usd,swap_gozlem,kur_varyant_fark
2024-02-01,30.2952,30.713637242863555,8.769901469539729,133.50605540308234,73.33019744,49.66731703,23.662880410000007,2023-12-31,aylık,-42.61656019713645,-0.0,2099.59,agort03,23.68252144475524,ara_deger,-0.7014762851936583,-0.11690891500000085,49.723585200193654,0.0008364474031749003,-0.14226691505803413,-0.025358000058033278,,,False,48.614774896712056,84.8912805063703,29.213540164778575,-43.91011500763521,135.51299839578547,1.5000970780849805,30.713637242863555,-42.61656019713645,-73.33019744,False,0.05515353462261334
2024-02-02,30.3063,29.833315086302186,8.813408433230054,135.5820765840845,73.25011152,49.58723111,23.662880410000007,2023-12-31,aylık,-43.41679643369782,0.42054051000000925,2069.97,agort03,23.626042889510476,ima,-0.4533837630496966,-0.10070100250441642,48.905199999999994,0.0004711505471234889,-1.174337074575256,-1.0736360720708396,,,False,47.92894117087005,87.65313541321444,28.040189894510384,-44.8711204503172,137.58901957678765,1.7931251917918019,29.833315086302186,-43.41679643369782,-73.25011152,False,0.05365120940789208
2024-02-05,30.3735,27.658092021005153,8.78015671555797,132.8597185708309,72.73586101000001,49.49352111,23.242339899999997,2024-01-31,aylık,-45.077768988994855,-0.0,2050.78,agort03,23.57693913264508,ara_deger,-0.1207139283591456,-0.03348319708975035,48.351115234445885,4.1901872525132444e-05,0.2830353921674693,0.31651858925721965,,,False,47.48460797711894,85.37511059371195,25.886279026124747,-46.387996835944215,134.866661563534,1.7718129948804062,27.658092021005153,-45.077768988994855,-72.73586101000001,False,0.04972024745298922
2024-02-06,30.477,27.757989139350983,8.821008170095482,132.74760588021744,72.63258521,49.39024531,23.242339899999997,2024-01-31,aylık,-44.87459607064902,-0.0,2045.66,agort03,23.56057121368995,ara_deger,-0.338094196916454,-0.03324831745275146,48.19691810899699,0.00011743981850304008,0.9370201466894745,0.970268464142226,,,False,47.36605738034949,85.38154849986795,25.97228559241395,-46.0896454420688,134.75454887292057,1.7857035469370324,27.757989139350983,-44.87459607064902,-72.63258521,False,0.05000292816272378
2024-02-07,30.5077,29.433917371679936,9.840104432651428,133.2119123906173,72.69049122999999,49.44815133,23.242339899999997,2024-01-31,aylık,-43.25657385832005,-0.0,2031.31,agort03,23.544203294734817,ara_deger,0.5045522766061633,-0.03359908195595266,47.82557559462778,0.00017538225160429466,0.16939208950279727,0.20299117145874992,,,False,47.99181718189152,85.22009520872578,27.634318221301506,-44.21526798559504,135.35727196740496,1.7995991503784303,29.433917371679936,-43.25657385832005,-72.69049122999999,False,0.05287253256284446
2024-02-08,30.5349,30.097845678223933,9.859424953086467,133.6723924708693,72.66115464999999,49.418814749999996,23.242339899999997,2024-01-31,aylık,-42.56330897177605,-0.0,2052.74,agort03,23.527835375779688,ara_deger,0.29809767421113037,-0.033806463489121495,48.296528789277986,0.00010369076658078846,0.3802758752264465,0.414082338715568,,,False,48.498123281013726,85.17426918985558,28.426639222659972,-43.21060215665037,135.81775204765694,1.6712064555639614,30.097845678223933,-42.56330897177605,-72.66115464999999,False,0.05411529662739485
2024-02-09,30.5357,30.51656529897792,9.76003615440288,134.78693940440488,72.50088951999999,49.25854962,23.242339899999997,2024-01-31,aylık,-41.984324221022064,-0.0,2065.41,agort03,23.511467456824555,ima,-0.5050263209725865,0.1707943821877692,48.56082,0.000897453271245463,-0.15681693611696068,-0.3276113183047299,,,False,48.797465244423826,85.98947415998106,28.801215593551156,-42.623680958172976,136.9322989811925,1.715349705426764,30.51656529897792,-41.984324221022064,-72.50088951999999,False,0.05486671084492281
2024-02-12,30.6005,28.710412215486677,9.656726328001177,132.36637794384106,71.45988951999999,48.21754962,23.242339899999997,2024-01-31,aylık,-42.74947730451331,-0.0,2043.93,agort03,23.595029213923755,ara_deger,0.510360481897168,0.0575339409979343,48.22658806121518,0.00030124013434262853,-0.636409044487186,-0.6939429854851203,,,False,48.289977843157146,84.07640010068391,27.045374193232135,-43.742487875733374,134.51173752062874,1.6650380222545422,28.710412215486677,-42.74947730451331,-71.45988951999999,False,0.05160374329888448
2024-02-13,30.6318,28.16286613911034,9.502015944214836,132.2000741228317,71.19310239,47.95076249,23.242339899999997,2024-01-31,aylık,-43.03023625088967,-0.0,2065.56,agort03,23.62288313295682,ara_deger,-1.1180710586828446,0.05621561501010658,48.79448248411028,0.0006591629939174393,0.12777821054401417,0.07156259553390759,,,False,48.801009150857254,83.39906497197444,26.686316148577625,-43.88920109280168,134.34543369961935,1.476549990532714,28.16286613911034,-43.03023625088967,-71.19310239,False,0.05065956955319643
2024-02-14,30.669,26.96653989370374,9.36377726694708,130.8236363795953,71.12530767,47.88296777,23.242339899999997,2024-01-31,aylık,-44.15876777629626,-0.0,2018.23,agort03,23.650737051989886,ara_deger,-0.30485800060015195,0.05585657799377035,47.73262704043755,0.00017951850816816384,0.4887916948629322,0.43293511686916186,,,False,47.45154896538702,83.3720874142083,25.524678698359907,-44.83849371543319,132.82911536078777,1.441861195343833,26.96653989370374,-44.15876777629626,-71.12530767,False,0.04844887750152871
