tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2024-02-09,54.39,60.01,61.36,40.89,46.48,50.93,7.910000000000004,45.642700000000005,45.0,8.747299999999996,-0.8372999999999919,0.6764017641147946,0.21345518330753588,0.3213101378197741,0.10349088058308242
2024-02-16,53.46,59.31,60.56,40.95,47.01,52.03,6.450000000000003,45.0935,45.0,8.366500000000002,-1.9164999999999992,0.6884178980225982,0.22077152858811622,0.31224868206116546,0.0994333820243577
2024-02-23,54.14,59.02,60.71,40.99,46.82,51.89,7.32,45.74864,45.0,8.391359999999999,-1.0713599999999985,0.6744458005040488,0.21583389506307737,0.3139933241123513,0.099291443794287
2024-03-01,54.35,58.53,60.44,40.88,47.82,53.25,6.530000000000001,45.9066,45.0,8.443400000000004,-1.9134000000000029,0.6917039861109932,0.22521380939764468,0.30602132784936725,0.09371272146095944
2024-03-08,56.27,61.66,63.36,41.32,48.2,53.63,8.07,46.275999999999996,45.0,9.994000000000007,-1.9240000000000066,0.7037831891523108,0.23103481435720807,0.3051239603159093,0.0925520607761573
2024-03-15,58.49,71.97,76.0,42.65,49.63,55.66,8.86,46.222,45.0,12.268,-3.4080000000000013,0.6642761757578372,0.21379932356189102,0.2919228113056651,0.08434532582998133
2024-03-22,62.77,76.92,82.09,43.13,52.01,59.52,10.760000000000005,46.739999999999995,50.0,16.03000000000001,-5.270000000000003,0.6533297681746537,0.19310850954175285,0.28784135633784474,0.07856067660382415
2024-03-29,66.35,78.76,86.15,43.53,57.3,64.3,9.049999999999997,50.45234,50.0,15.897659999999995,-6.847659999999998,0.6716916597391906,0.21715794339147276,0.41088827023615193,0.14108267718181766
2024-04-05,67.55,79.11,83.08,45.14,59.54,67.48,8.009999999999998,50.428,50.0,17.122,-9.112000000000002,0.6706188407884096,0.21650313252017284,0.3909818108900089,0.125645694236588
2024-04-12,66.1,82.1,83.06,44.1,57.98,65.85,8.119999999999997,50.1443,50.0,15.955699999999993,-7.835699999999996,0.6721376619887899,0.22094681497914903,0.41170559792169814,0.13412280831588952
