kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT020529A19,2029-05-02,3.3698630136986303,5.035426937065135,1.6359914321999227,2025-12-19
TP.TRT130629A15,2029-06-13,3.484931506849315,6.314023193390628,1.1371834186986691,2025-12-19
TP.TRT280531A15,2031-05-28,5.441095890410959,3.458857103012969,6.497906342583964,2025-12-19
TP.TRT110232A16,2032-02-11,6.1506849315068495,3.9695036094927083,5.105033950594229,2025-12-19
TP.TRT040832A19,2032-08-04,6.63013698630137,4.378884153825724,3.575944205139285,2025-12-19
TP.TRT120133A15,2033-01-12,7.071232876712329,3.8263770802735797,3.083447050495077,2025-12-19
TP.TRT070933A14,2033-09-07,7.723287671232876,4.051306755301942,2.3848717385007836,2025-12-19
TP.TRT180827A10,2027-08-18,1.6547945205479453,7.475762151141119,1.4854218614374954,2025-12-22
TP.TRT151227A17,2027-12-15,1.9808219178082191,8.767746971632029,1.3348855674160829,2025-12-22
TP.TRT120128A12,2028-01-12,2.0575342465753423,7.371286999877968,10.573938942517382,2025-12-22
TP.TRT280628A19,2028-06-28,2.5178082191780824,4.583858039170652,9.94095459745473,2025-12-22
TP.TRT190728A27,2028-07-19,2.5753424657534247,6.831557002063282,2.6339193317465055,2025-12-22
TP.TRT181028A15,2028-10-18,2.824657534246575,3.3772865419787523,2.1625676750100604,2025-12-22
TP.TRT140229A18,2029-02-14,3.1506849315068495,6.313937381767509,1.858625980193129,2025-12-22
TP.TRT110429A19,2029-04-11,3.304109589041096,5.674031109466537,1.2011747378756532,2025-12-22
TP.TRT020529A19,2029-05-02,3.361643835616438,5.0357149760025255,1.6399700012710539,2025-12-22
TP.TRT130629A15,2029-06-13,3.4767123287671233,6.313946603334708,1.1399489361022377,2025-12-22
TP.TRT280531A15,2031-05-28,5.432876712328767,3.4588088531717798,6.51370860700472,2025-12-22
TP.TRT110232A16,2032-02-11,6.142465753424657,3.9695053458331797,5.117448887361713,2025-12-22
TP.TRT040832A19,2032-08-04,6.6219178082191785,4.378918487815664,3.584640547146117,2025-12-22
TP.TRT120133A15,2033-01-12,7.063013698630137,3.8263869792722893,3.0909456882178152,2025-12-22
TP.TRT070933A14,2033-09-07,7.715068493150685,4.051322941863589,2.3906715102787173,2025-12-22
TP.TRT180827A10,2027-08-18,1.652054794520548,7.475109696896554,1.4866230731407413,2025-12-23
TP.TRT151227A17,2027-12-15,1.978082191780822,8.767961012230717,1.3359650453796847,2025-12-23
TP.TRT120128A12,2028-01-12,2.0547945205479454,7.37127710412806,10.582489738447414,2025-12-23
TP.TRT280628A19,2028-06-28,2.515068493150685,4.583916211121686,9.948993519806624,2025-12-23
TP.TRT190728A27,2028-07-19,2.5726027397260274,6.831542910015553,2.6360492955021475,2025-12-23
TP.TRT181028A15,2028-10-18,2.8219178082191783,3.3773145739881993,2.164316472215569,2025-12-23
TP.TRT140229A18,2029-02-14,3.147945205479452,6.313863118070784,1.8601289897672606,2025-12-23
TP.TRT110429A19,2029-04-11,3.3013698630136985,5.673740877951539,1.202146088298208,2025-12-23
TP.TRT020529A19,2029-05-02,3.3589041095890413,5.035526060468953,1.641296190961431,2025-12-23
TP.TRT130629A15,2029-06-13,3.473972602739726,6.313607582542846,1.1408707752367606,2025-12-23
TP.TRT280531A15,2031-05-28,5.4301369863013695,3.4588574505683756,6.5189760284783045,2025-12-23
TP.TRT110232A16,2032-02-11,6.13972602739726,3.9694981474339253,5.121587199617542,2025-12-23
TP.TRT040832A19,2032-08-04,6.619178082191781,4.378916868686544,3.5875393278150614,2025-12-23
TP.TRT120133A15,2033-01-12,7.06027397260274,3.826395471687749,3.0934452341253946,2025-12-23
TP.TRT070933A14,2033-09-07,7.712328767123288,4.051282323437211,2.3926047675380286,2025-12-23
TP.TRT180827A10,2027-08-18,1.6493150684931508,7.474972987627226,1.4878242848439873,2025-12-24
TP.TRT151227A17,2027-12-15,1.9753424657534246,8.767712388025162,1.3370445233432868,2025-12-24
