Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
2005-09-30,186304995.666748,28455251.5653095,32897829.4708467,28208715.4824608,9918502.38034691,41553535.1500926,4840859.19075695,4173417.30097974,15468950.0431043,5967986.03094908,17445258.8436533,2517002.80228727,163238592.778326,23066402.8884217
2005-12-31,185681098.842037,15583325.8257362,37805594.8590129,32007726.859775,10294162.9322974,44850109.8357296,5031025.32704186,4413601.88149222,15517415.0211848,7052118.14944816,18878585.3397867,2632927.20379594,162058866.375526,23622232.4665116
2006-03-31,167820666.753066,6848081.56023186,34351280.3199232,29565701.8064703,9507327.40845807,41449611.8803192,4256353.60331754,4156340.91217097,17897322.7120409,6028720.83224789,18947738.1238484,2922823.11665268,146365600.469211,21455066.2838552
2006-06-30,197199044.124381,12101549.9498852,40236788.8698412,35144814.4212097,12242277.2934568,49183427.3426252,4887041.64086924,4125638.46500506,18691592.9526057,7577588.86607695,20181736.4674459,3223197.99456875,172450839.84238,24748204.2820014
2006-09-30,216706872.761674,28904400.617595,39623236.0665638,34102364.8305505,13512028.2725706,49731599.6971765,5226094.7512225,4086075.87849082,18904033.8820734,7260407.41016747,19793260.3416807,3212107.3878161,190253244.305357,26453628.4563173
2006-12-31,217733018.839536,16598215.0429373,44373786.9484726,38118698.3498032,14772047.7445973,51945380.8272627,5634189.43049199,4456177.89373844,19159339.4249796,8505476.04570206,22562686.1910352,3409380.33206291,191416679.88128,26316338.9582555
2007-03-31,195678319.073105,6838863.76917926,41236254.7153043,35388525.0002357,12769848.8984705,48467099.2279941,4977240.49962526,4739317.02567969,21924634.27911,7601216.88927087,22477485.1788347,3724640.00106716,174756600.484536,20921718.5885696
2007-06-30,215185292.299467,12312300.2008684,43532843.0777844,37566222.3145862,14713581.7491818,51216179.2849074,5715837.80450927,4828959.27450959,22538403.3699134,9081756.2782529,22802000.7975178,3920814.81170028,190662676.649145,24522615.6503221
2007-09-30,238594399.890812,29782093.3981328,42922242.0178406,36542866.9813541,16161479.8283228,53531590.3511735,6216181.67430372,4855570.06005691,22940294.7035247,8718374.16648953,22855756.1842648,3820813.47187754,211804395.855987,26790004.0348248
2007-12-31,243347418.783777,17297294.0590802,48189436.3245481,41139922.1936876,16452542.5371956,58385252.2947577,6851675.01143292,4958509.16561827,23024320.5478166,10444772.49121,25609006.1199889,4164767.38459245,215377575.936241,27969842.8475364
2008-03-31,225491930.319312,7690152.97799051,47270663.4226027,40549752.7453045,14644085.210616,55216641.3560063,5856502.45178988,5932394.91357226,25616540.245237,8901130.21298872,25963272.747099,4498370.03719343,201589753.575096,23902176.7442158
2008-06-30,254094877.558123,13870118.0168962,51051330.3688843,43769549.3711092,18840374.9702546,62154772.9932539,6570851.25849485,5838395.07178042,26430981.0461199,10958462.7830488,25556263.1970131,4718982.78904094,225990532.494787,28104345.0633363
2008-09-30,270679090.284925,34073889.315004,48399544.5444026,40533780.7518185,17965150.6635366,61643660.6456764,6822700.69802807,5787398.20865183,26172704.5828024,10318608.1915788,25830871.2595739,4568142.49137172,241582670.600626,29096419.6842984
2008-12-31,258955012.581921,18848603.8869454,49464380.2929446,40015877.6064906,16893328.2315348,59755501.947428,7182947.64327176,7004599.55731136,26607310.7921332,11702070.4491588,28629567.6501665,4825764.8611166,230914075.312011,28040937.2699095
2009-03-31,215723454.139913,7913697.26834052,41196720.1594606,33615003.1627836,10962987.0748522,48199866.777242,5994785.36996899,10333271.8755328,27418433.7428531,9056558.93792223,28450600.7859434,4802988.80700472,194329910.79912,21393543.3407927
2009-06-30,244872328.495052,15023527.820121,46123136.1772304,38438594.1423609,15230650.7164397,52876430.8025524,6576755.17221019,9727082.36734742,27971034.4699467,11455921.8450681,28796781.2535656,5063295.26072509,218844615.885207,26027712.6098452
2009-09-30,274749403.11799,37365061.6978174,47506074.8450857,39355935.1804018,14439578.9168012,57062902.5522707,6928622.23765262,9005871.16785984,28655992.260228,10708764.0711786,28721877.6217156,4767175.63259359,245161921.003203,29587482.1147869
2009-12-31,278165055.869949,20976437.1486388,52383073.0618139,42776287.3814746,15941535.2194521,60519956.2705103,7456874.04127909,9505520.37000853,29373013.4238056,13324035.3098801,32516100.8833671,5207360.47056855,247203906.199324,30961149.6706252
2010-03-31,245238589.292648,10838476.7001739,47435266.7207426,38400286.9363588,12545912.8180371,52124942.4357604,6583054.75851972,10358428.8784864,30104076.1157754,10029015.4736553,32241453.271031,5481192.39687363,217741819.569055,27496769.7235923
2010-06-30,282700671.661903,17997251.0151394,54193868.8296397,44833451.9532767,17412605.4365451,61459315.38481,6622279.37940967,8598418.17179726,30735525.5697388,12964485.7077482,32754459.8824985,5792279.92538382,248530489.30271,34170182.3591921
2010-09-30,322044463.138908,47358753.5184939,54477544.5748064,44100028.3880864,20440572.997507,65914520.3899751,6957176.77564038,7551391.72712664,31399097.6396685,11871825.2862902,32935747.7005046,5632709.74827666,284539340.358289,37505122.7806185
2010-12-31,326064244.882544,28560576.0031663,61433298.609411,50435721.4971934,20293991.2576862,69329108.6021169,8013026.66934901,8145228.29268576,32031341.5711043,14787256.5759323,36032802.5902637,6357561.46988662,284984191.641602,41080053.2409417
2011-03-31,296328464.629657,12515007.3878514,61277933.9741462,51077618.3694942,17878885.4270191,64340496.4799517,6861449.95052256,10224189.3198517,32731175.6063524,12457050.8038574,37161337.2856745,6824557.4884482,262272083.723675,34056380.9059819
2011-06-30,341163165.496872,20623174.1627232,68757899.3805442,58239234.7964726,25364250.5318449,74354903.5411366,7578097.39241379,9372775.87096083,33337927.698747,14912305.2225653,37348911.7418173,7021296.32392565,298671541.866679,42491623.630193
2011-09-30,385954610.135374,49360886.0315493,71191378.5703795,59614374.4679362,27788992.2667516,79643849.7786219,8043665.44241646,9155297.04130724,34092605.7118589,15191095.8565353,37784393.956458,6783669.68419009,339035834.340068,46918775.7953057
2011-12-31,390538220.90934,32409576.4765215,78583383.1256851,64804784.8149798,28777272.2011642,85947137.0680767,9618629.74992579,9702604.99054497,35018331.1833106,17420769.0298705,41256724.581108,7721023.86797332,346455452.274181,44082768.6351594
2012-03-31,339453805.039846,13230001.124415,71424154.1740759,58402104.6947716,21686336.2527251,73591875.1649529,8457105.45858308,11739491.8486204,35489614.4793762,14335160.3503981,42970736.0985621,7682993.99132123,300607468.94303,38846336.0968166
2012-06-30,387344421.610499,21539594.5521561,78177788.018836,65205214.0492911,29605796.799624,86604094.9591662,8793213.11978549,11499853.5217115,36136973.3486632,17776746.9326882,44967411.557825,8031975.0527743,343133447.86323,44210973.7472686
2012-09-30,428883048.58962893,54215987.1750629,75778292.7269297,62696496.5473191,32604362.5797646,91967858.0853218,9295851.64302848,11240278.7813151,36940709.243151,17364472.9413672,43867591.210547,7469522.08620884,380744926.47269696,48138122.1169318
2012-12-31,434368020.01623905,32785877.418537,81905478.8194794,67153711.7697794,33099491.0612975,97348593.2821861,11225569.9041389,12817659.3261301,37839792.4777289,20921171.9619047,45373986.1370101,8311455.58308314,381629075.971496,52738944.0447431
2013-03-31,392753083.38088095,10661866.4134842,79930985.9761612,65806632.017475,28542197.5172027,84306434.2851828,9181692.15495395,16768272.7871044,38076117.2590384,17368919.2119828,49519770.6889299,9032789.60961908,343389045.903659,49364037.4772215
2013-06-30,446996350.539688,23380400.6051578,88941907.2197176,74222608.2885305,36004967.8126325,97723561.689788,10071917.0119086,15293356.4707885,38790657.3984508,20911574.348602,49781418.5636009,9306129.69766195,390205890.81830895,56790459.7213799
2013-09-30,495445687.68149,57261812.6500741,92633022.5603785,76861560.3225146,40824897.2843086,105814716.970968,10773448.2438203,12937687.1083561,39756031.3214745,20808355.8356613,49149682.3580502,8834901.58259017,438794555.91568094,56651131.765809
2013-12-31,496548848.900392,30506392.7107645,100983667.64313,83531415.7329019,40472384.7413901,111214476.071119,13121324.0220825,12361369.830462,40860373.7121109,24724810.6568523,51100321.5032566,9908072.54312389,435253193.434292,61295655.4660996
2014-03-31,458361289.85878706,12093257.6702439,98695397.7365236,81717631.6720745,37181930.1454338,99538980.528459,10775687.0715356,15499885.9715861,41729781.5630403,20830253.8173933,59027761.1979718,10357076.5673361,405730012.269524,52631277.5892633
2014-06-30,492585428.77921695,23439481.5622049,103256533.070761,87156640.203528,39712890.756211,111367859.074653,11403500.8297351,14287944.9512367,42716752.7650432,24282494.2651207,55666427.0997729,10474397.7268596,436608282.101598,55977146.6776193
2014-09-30,551958483.650141,62479788.2594553,103659282.029371,86746875.6698947,44012023.8862539,120400639.870782,12130727.0639094,15131516.4221728,43807210.388011,24235606.0343806,55909064.1257636,10195322.1569455,491961180.23704493,59997303.4130965
2014-12-31,559452976.885586,36830233.7463799,110931107.207858,93038187.5788011,44098211.7585737,126927232.559642,14898225.7931718,15205276.8022167,45040526.4522467,28686768.972108,58334674.5954725,11276428.2658846,492228686.15355504,67224290.732031
2015-03-31,501740757.863902,15235344.3590327,101885846.621902,85609550.5897478,38979897.1155378,111931875.82377,11784094.7852251,18493549.5938186,45452682.9336777,24666086.4505404,62874003.6551021,11279499.2979262,442582880.636532,59157877.22737
2015-06-30,567197911.838763,28938358.3397788,116406880.170177,98655856.5144795,47111294.0946049,128253949.318532,12767346.4310841,17370230.1286701,46743111.2510856,28486705.2577271,61474957.3176488,11374053.9368854,498926886.24619293,68271025.59257
2015-09-30,634163127.850709,78516646.058631,116193379.528982,97829611.8869821,51281441.4689295,134602088.256677,13366371.8462333,17440855.1131301,48435223.289872,30040061.7194001,61793651.1867229,11075048.9999807,562744767.468559,71418360.38215
2015-12-31,650957329.41532,39195904.3867935,131953857.796617,112656496.182262,54459958.0257035,145385088.023529,18008849.231243,16213867.6394583,50495354.6513752,37161654.5483555,66944707.2151835,12371724.9755715,572190966.49383,78766362.9214899
2016-03-31,570866259.930324,15798461.0831375,120746083.731341,101720082.547334,44666220.5720212,125515606.613278,12885705.6859515,19906985.8688207,51193113.8670578,28606304.4829693,74387068.0590453,12568735.8476024,506274285.811224,64591974.1191
2016-06-30,637798573.2920791,28122012.3403906,130713855.284705,111974603.561894,58919079.2808321,137304213.34014,14191954.5793177,20314480.1563646,52433438.0802448,34558004.8476041,76062654.7068003,12825365.1700706,565445057.786469,72353515.50561
2016-09-30,670039064.862309,78859005.9696809,120292997.789995,100979638.861362,54977944.1329129,136972827.780871,14518302.5945039,20200130.8972495,53584397.4518116,32539962.3624188,70847434.5454576,12172391.0952777,594965394.620179,75073670.24213
2016-12-31,751284073.421079,42004046.5901156,150454694.189063,128163368.613559,64528604.0404203,167466216.188772,20137346.4267539,22102461.265089,55901769.9551446,42007353.774432,75413836.0556432,14222890.1509145,654239218.636349,97044854.78473
2017-03-31,660893768.1913071,18335938.1055439,142487601.039366,120238647.708419,49984509.5570916,144955764.38391,16041648.9280732,27827453.2800258,59027261.4381196,34711502.5255743,83289115.1547391,14094572.0572641,590755366.469707,70138401.7216
