Tarih,TP_GSYIH20_BY_B1GQ,TP_GSYIH20_BY_P311,TP_GSYIH20_BY_P312,TP_GSYIH20_BY_P32,TP_GSYIH20_BY_P51G,TP_GSYIH20_BY_P52,TP_GSYIH20_BY_P6,TP_GSYIH20_BY_P7
2018-09-30,1047448535.16651,532209180.13894,3158861.14680991,133247775.896033,298781099.757273,19544806.9234888,384223067.124023,323716255.820058
2018-12-31,1040775452.24834,555122823.781274,3284790.49075261,173522856.732562,296864485.545174,-38750145.6980962,356444127.096471,305713485.699802
2019-03-31,948043693.090981,501661274.651731,3626884.70249746,152610210.44919,269974341.807586,10152122.5643952,302698702.363678,292679843.448097
2019-06-30,1051610271.78976,571813245.424708,3746118.89850737,159568054.073345,280509991.451972,3605808.12928796,360490702.954598,328123649.142661
2019-09-30,1178523775.71783,617134151.545775,3462469.19583316,161715397.506424,285663363.387989,22796735.9958845,410067473.42597103,322315815.340046
2019-12-31,1223872570.25994,662003084.977671,3536063.73130522,197104136.791208,328763768.371221,9354360.16970707,380735107.74894,357623951.530116
2020-03-31,1095834093.20798,585132572.188406,4929736.7080947,172634623.400039,285646641.238032,72430479.6711713,336247563.167058,361187523.164824
2020-06-30,1061245901.35972,572016199.362655,4283392.4811373,180647377.591603,307952223.939328,51068961.8503135,254623282.517763,309345536.383082
2020-09-30,1440508562.2707,777386490.5904461,4749367.51885897,185248148.082436,395555498.20551294,114865445.246199,393747125.65959,431043513.03234094
2020-12-31,1544122044.10238,809077044.62187,4747186.51853577,234371518.873641,447984933.645916,80598538.3454687,493109878.90230894,525767056.805356
2021-03-31,1439485730.2545,754751425.806957,6368441.30233515,196843480.692445,402552150.21994305,107093908.436086,438156421.358666,466280097.561933
2021-06-30,1633315779.80098,842879760.258161,5630641.81229327,218723202.685927,490967601.92982495,89164650.7850413,554848086.599084,568898164.269357
2021-09-30,1975578633.13683,998660670.35514,6201653.78169532,248234327.449786,533203311.65650094,111755521.253285,684968256.127106,607445107.4866849
2021-12-31,2385419765.0929,1250813848.30384,6207694.73244759,305983213.691106,683888566.963705,136828084.779435,927844194.871028,926145838.248658
2022-03-31,2589636478.47121,1423306376.36108,9384245.13798556,322449772.637196,810292947.478214,225331557.776586,1060579702.15254,1261708123.0724
2022-06-30,3502565413.44039,1818998719.76581,8752681.24870833,381876191.902624,1126663892.30004,278989332.801416,1391353559.96038,1504068964.53859
2022-09-30,4351145687.05226,2257556058.23923,10769880.541695,475004633.17397,1271578821.14122,404831810.288746,1714723820.96418,1783319337.29678
2022-12-31,4882509912.85856,2613966843.84699,10069348.3155854,631773949.868012,1472745778.73098,325674781.304511,1678810521.70533,1850531310.91284
2023-03-31,4798503056.20185,2659624690.12664,20548353.8557454,659163916.748469,1566656999.49893,275555465.030418,1535898667.85819,1918945036.91654
2023-06-30,5696948397.90071,3109501834.6851,17171881.4471993,770528277.5358751,1883884541.21612,37477206.3756886,1815268306.15557,1936883649.51484
2023-09-30,7894487347.52061,4082657574.9249697,20731611.1428862,976031109.6100019,2650370824.77108,120945625.291241,2641945199.48159,2598194597.70116
2023-12-31,8701530263.078209,4708926724.15139,18814966.3416832,1180119820.23222,2805145913.19305,30435655.7245315,2652748915.06042,2694661731.62509
2024-03-31,9092978987.20063,4864417218.99963,39130068.4303206,1406100694.35809,2946716105.90151,-1089147.23280751,2616531668.69227,2778827621.9484
2024-06-30,10162335255.5805,5472694262.816191,34810824.3410945,1484605207.17579,3242266422.47215,-49186144.075364,2894771721.83138,2917627038.98076
2024-09-30,12333977588.6793,6536791957.122951,35625433.0106285,1643767061.98662,3744223873.93344,-78004911.3420752,3468954545.96135,3017380371.99361
2024-12-31,13086681096.4515,7256262872.4782,33734738.0255907,1909424560.27817,4039677266.1981506,-119031830.421026,3376946288.06552,3410332798.17306
2025-03-31,12570148524.8555,7072407118.96971,51882761.1850926,1955787347.35806,3839767860.1427298,-85589779.9464474,3168942684.24863,3433049467.10223
2025-06-30,14609805608.7973,7901658575.43704,45217302.7181941,1972423959.17696,4601548272.26252,286757393.692924,3710389667.0397906,3908189561.5301
2025-09-30,17533422455.4975,9259487925.35492,47702026.8814735,2299755388.4513,5361552598.59502,48304201.2663549,4433356544.58692,3916736229.63851
2025-12-31,18527147403.6199,10176463469.4693,46076302.2304716,2537862220.08527,5621219342.097529,359902535.756215,4338053283.21531,4552429749.23419
2026-03-31,17098138220.9303,9843176203.11379,69010389.9978103,2609604543.19135,4977720214.13755,296521165.066067,3693087055.78766,4390981350.36396
2026-06-30,19869747341.4119,10883379571.3979,60201119.6265347,2672573699.77081,5954391223.900351,442669827.28811294,4681123283.684191,4824591384.25596
