tarih,faiz,pi12,egilim3,bek12,bek24,bek_faiz12,ex_post,ex_ante,egilime_gore,ileri_ex_ante
2025-09-01,40.5,33.294011471927675,31.492095718460035,22.25,16.78,27.32,5.4060857262068,14.92842535787322,6.850529100111791,9.025518068162363
2025-10-01,39.5,32.866855722764484,33.21395875775188,23.26,17.36,28.26,4.9923242641310095,13.175401590134662,4.718755677608244,9.287661895023858
2025-11-01,39.5,31.074841098442963,31.44286065034363,23.49,17.69,29.32,6.427746797899503,12.964612519232311,6.129765671404153,9.881893109015216
2025-12-01,38.0,30.892328316136354,31.22664925234677,23.35,17.45,28.15,5.430166744911813,11.876773408998776,5.16156648534718,9.110259684972299
2026-01-01,37.0,30.652780124071576,29.66657002898605,22.2,16.94,26.96,4.858082522163665,12.111292962356801,5.655605735059255,8.568496664956404
2026-02-01,37.0,31.53483745488579,32.717989157885086,22.1,17.11,27.67,4.154916409113807,12.203112203112209,3.2263982217368703,9.017163350695911
2026-03-01,40.0,30.865453527292573,30.65468146873822,22.17,17.3,28.48,6.98010531159956,14.594417614799049,7.152685557231897,9.531116794543903
2026-04-01,40.0,32.3717402432574,33.85011970158131,23.39,18.02,29.56,5.762755511655482,13.461382607990924,4.59460201614299,9.77800372818165
2026-05-01,40.0,32.61480199456586,33.13621790561714,23.82,18.43,30.22,5.568909272840261,13.067355839121308,5.155458223433018,9.955247825719837
2026-06-01,40.0,32.10903603221191,35.15869881864986,23.81,18.29,30.14,5.97306906838988,13.076488167353206,3.5819382871138616,10.0177529799645
2026-07-01,40.0,31.754096790624352,30.41646138851113,23.95,17.83,29.44,6.258555453102543,12.948769665187566,7.34841177981318,9.853178307731492
2026-08-01,37.0,31.507342820912854,29.195881507286824,23.69,18.03,29.59,4.176692389387782,10.760772899991933,6.040531943948246,9.794120138947736
2026-09-01,37.0,,,,,,,,,
