tarih,tufe,cekirdek_b,cekirdek_c,hizmet,temel_mal,kira,enerji,gida,islenmemis_gida,islenmis_gida,alkol_tutun_altin,yonetilen_haric,yi_ufe
2015-11-01,8.448339767678052,8.855880710636772,9.305888239106514,7.645852407252918,11.482761180105566,6.590801732631281,9.485997566785787,6.780087302550082,6.307240208868625,7.234964,7.531537799080989,8.20983770775421,250.13000000000002
2015-12-01,8.487833737298399,8.912648412918417,9.360182707266285,7.692284240643222,11.54381658692359,6.628647815883118,9.445402275971004,6.847349227120505,6.337985440214411,7.293092999999999,7.571324818495741,8.23888182839754,249.30999999999992
2016-01-01,8.565880363685366,8.981481092456844,9.436878046252122,7.753718410314878,11.628960113560247,6.674205870512285,9.436148727531625,6.859508553780488,6.321161802753616,7.363678,7.884330090218815,8.296788758247754,250.67000000000002
2016-02-01,8.598217271842223,9.02032269436759,9.473518142078227,7.799903306753951,11.631785470078677,6.7203303245590265,9.48001194765205,6.846928628288101,6.227058286358408,7.443604999999999,8.051482328655164,8.310518437949334,250.15999999999994
2016-03-01,8.597898672899037,9.063850358100625,9.511109672459323,7.845707874203103,11.693347984710183,6.765748824601357,9.549811311627534,6.70054109910204,5.883558446927208,7.4973220000000005,8.123462548236338,8.297635397767397,251.17000000000007
2016-04-01,8.63000660563221,9.137707956843403,9.58445365328317,7.90554581397593,11.781445748796287,6.8292242877363805,9.600784961916235,6.574645769091178,5.615316559369527,7.5328740000000005,8.158537390816678,8.328539236359898,252.47
2016-05-01,8.693474276565327,9.193473938521649,9.647921315417436,7.95889060608031,11.835205475619485,6.8837587083368215,9.732444843364545,6.614802808722813,5.6518393671092,7.5653120000000005,8.21725250914547,8.39456579437062,256.2099999999999
2016-06-01,8.775501410676474,9.235350146215445,9.69778789564659,7.973703163745425,11.919696891727108,6.94011535012254,9.860742969963278,6.849152067921034,6.058921607398671,7.572578,8.273618718856103,8.478247043267153,257.2699999999999
2016-07-01,8.907631433310772,9.29274561231061,9.744397211775885,8.039234421669809,11.95059623922332,6.980860340216663,9.811467597777176,7.1235476555099835,6.539683227803282,7.626036000000001,8.817245781372836,8.595302311475342,257.81000000000006
2016-08-01,8.909878193708042,9.313382069961463,9.79331908252452,8.085179465395905,12.03711578612933,7.0332573978887325,9.832227122030616,7.060536613874987,6.39122616794715,7.646017999999999,9.005459339682194,8.5836404333899,258.0100000000001
2016-09-01,8.952825638542029,9.352871160652716,9.829319459480052,8.1398978431086,11.999472896524498,7.082657341213638,9.963348518449292,7.0338173059413,6.306465759271275,7.667297000000001,9.031288365618328,8.622574241541479,258.77000000000004
2016-10-01,8.99001192439886,9.401175741562502,9.879315730870628,8.187110943013533,12.06573853610704,7.138620546040221,9.947410519143826,7.0841234330460345,6.365791459935621,7.700514000000002,9.113811734526015,8.682252664827336,260.93999999999994
2016-11-01,9.037392397603154,9.464263647649226,9.952820177802787,8.257230536924094,12.15340095680865,7.184609245769645,10.055254043034797,7.027960599283354,6.333069992152337,7.721793000000001,9.242069329237852,8.726250149229527,266.16000000000014
2016-12-01,9.204296323894988,9.55909377430226,10.056693099247179,8.322515372657564,12.311619122547361,7.248100409490294,10.251794135434356,7.246210908681608,6.647717797538212,7.779403000000002,9.877400930600874,8.859314341851695,274.08999999999986
2017-01-01,9.355198372751854,9.653034302628276,10.164097612242568,8.394385759756425,12.456163916313466,7.297355342968466,10.520139298268239,7.39936280583603,6.8965112484366164,7.864780000000001,9.895840464773682,9.03380575291005,284.9900000000001
2017-02-01,9.47255234258814,9.761066067472216,10.281544667303951,8.449569410565848,12.65191797898632,7.349226726990585,10.800574361808334,7.44317299141756,6.884339094759381,7.969360000000002,9.995565369099165,9.149458567701041,288.59000000000003
2017-03-01,9.575969908732265,9.883844137860816,10.4068091332261,8.521948245403633,12.931575229929436,7.399613895673329,10.734619125496165,7.541568572443006,6.96053332115705,8.043318,10.047702398905587,9.253083686611932,291.58000000000004
2017-04-01,9.668382614169195,9.98273938649594,10.491441504634924,8.609227430368087,12.978002928181024,7.447446510550863,10.676207788909396,7.590843274009849,6.966479080420117,8.120391000000001,10.136518427911897,9.350229029184796,293.79000000000013
2017-05-01,9.720830336608564,10.05184943970292,10.567271484785204,8.681442397278534,13.000344306388527,7.507625031027024,10.575042168897346,7.69354341131619,7.13462345113246,8.190976,10.049304484160798,9.401948207263537,295.30999999999995
2017-06-01,9.732444547031301,10.081763231527914,10.602107752046468,8.701834677696738,13.025042371884421,7.55486485010942,10.631210444128941,7.808225287936352,7.3060574423322215,8.218224000000001,10.119647420161009,9.402467745868162,295.5199999999999
2017-07-01,9.777075984384556,10.178730464761562,10.68142980095943,8.792832707103274,13.131020753844105,7.607742144500994,10.608846982624126,7.837991088689461,7.271192004282658,8.302822000000003,10.093982760806627,9.451844995384322,297.6500000000001
2017-08-01,9.851204348444906,10.248287836989398,10.785188619575617,8.842014430459905,13.380865079670176,7.655282766228435,10.870138094141183,7.919276230294256,7.312638501617505,8.406883,9.985490249627679,9.556481194678966,300.18000000000006
2017-09-01,9.950394870165598,10.362209396918464,10.904781429145228,8.916275156311077,13.510060962911846,7.725946782318377,10.927258436100985,7.934207677588552,7.282092988601763,8.471499000000001,10.062972643988118,9.662272059553668,300.89999999999986
2017-10-01,10.062623826519212,10.509507774230137,11.048222264047695,8.97938999148934,13.782767685742716,7.7851904103945975,10.992562323001515,8.015395363191292,7.30068837286544,8.600213,10.206048957860641,9.782268728081034,306.0400000000001
2017-11-01,10.205103286964583,10.615578476213773,11.150809078791738,9.040186919467438,13.972465877498504,7.854059650576339,11.26512617509242,8.132682541658262,7.574656531828137,8.700901000000002,10.402649614917737,9.938023377324095,312.2099999999999
2017-12-01,10.287339496532356,10.72616633723941,11.285697281540275,9.116858049877663,14.200926451236727,7.919541409949968,11.306007672397456,8.253971874050654,7.693912166642984,8.728667,10.404047717774686,10.015809474134912,316.48000000000013
2018-01-01,10.32437325825861,10.831738624548084,11.399728942994598,9.16722398577769,14.383983067576464,7.96404905600808,11.470235121845676,8.056324616186128,7.244335862488832,8.882034000000003,10.222891177427693,10.054475556391186,319.59999999999997
2018-02-01,10.444011676681884,10.950337528951346,11.505655303749878,9.237160215691711,14.542210938380496,8.02048453632775,11.540910037521938,8.196737320163951,7.343306779087633,9.065763,10.345607595534217,10.165699117371354,328.17
2018-03-01,10.557937625545215,11.058675192186625,11.589708709773538,9.30768833001212,14.764207340191938,8.085642696813736,11.638454540138987,8.324055259475221,7.400465011329516,9.203040000000001,10.431056925901528,10.293257119649853,333.21000000000004
