kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.11203,"11203. Yatılı Okullar, Üniversiteler Ve Diğer Eğitim Kurumlarındaki Konaklama Hizmetleri",11203,5,4,TP.TUKFIY2025.1120,01-01-2005,01-07-2026
TP.TUKFIY2025.12,12. Sigorta Ve Finansal Hizmetler,12,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.121,121. Sigorta,121,3,2,TP.TUKFIY2025.12,01-01-2005,01-07-2026
TP.TUKFIY2025.1212,1212. Sağlık Sigortası,1212,4,3,TP.TUKFIY2025.121,01-01-2005,01-07-2026
TP.TUKFIY2025.12120,12120. Sağlık Sigortası,12120,5,4,TP.TUKFIY2025.1212,01-01-2005,01-07-2026
TP.TUKFIY2025.1213,1213. Konut Sigortası,1213,4,3,TP.TUKFIY2025.121,01-01-2005,01-07-2026
TP.TUKFIY2025.12130,12130. Konut Sigortası,12130,5,4,TP.TUKFIY2025.1213,01-01-2005,01-07-2026
TP.TUKFIY2025.1214,1214. Taşımacılık Sigortası,1214,4,3,TP.TUKFIY2025.121,01-01-2005,01-07-2026
TP.TUKFIY2025.12141,12141. Özel Taşımacılık Sigortası,12141,5,4,TP.TUKFIY2025.1214,01-01-2005,01-07-2026
TP.TUKFIY2025.122,122. Finansal Hizmetler,122,3,2,TP.TUKFIY2025.12,01-01-2005,01-07-2026
TP.TUKFIY2025.1222,1222. Mevduat Kabul Eden Kuruluşlara Yapılan Doğrudan Ödemeler,1222,4,3,TP.TUKFIY2025.122,01-12-2025,01-07-2026
TP.TUKFIY2025.12220,12220. Mevduat Kabul Eden Kuruluşlara Yapılan Doğrudan Ödemeler,12220,5,4,TP.TUKFIY2025.1222,01-12-2025,01-07-2026
TP.TUKFIY2025.1229,1229. Diğer Finansal Hizmetler,1229,4,3,TP.TUKFIY2025.122,01-01-2005,01-07-2026
TP.TUKFIY2025.12291,12291. Havale Ücretleri,12291,5,4,TP.TUKFIY2025.1229,01-01-2005,01-07-2026
TP.TUKFIY2025.13,"13. Kişisel Bakım, Sosyal Koruma Ve Çeşitli Mal Ve Hizmetler",13,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.131,131. Kişisel Bakım,131,3,2,TP.TUKFIY2025.13,01-01-2005,01-07-2026
TP.TUKFIY2025.1311,1311. Kişisel Bakıma Yönelik Elektrikli Aletler,1311,4,3,TP.TUKFIY2025.131,01-01-2005,01-07-2026
TP.TUKFIY2025.13111,13111. Kişisel Bakıma Yönelik Elektrikli Aletler,13111,5,4,TP.TUKFIY2025.1311,01-01-2005,01-07-2026
TP.TUKFIY2025.1312,"1312. Kişisel Bakıma Yönelik Diğer Aletler, Malzemeler Ve Ürünler",1312,4,3,TP.TUKFIY2025.131,01-01-2005,01-07-2026
TP.TUKFIY2025.13120,"13120. Kişisel Bakıma Yönelik Diğer Aletler, Malzemeler Ve Ürünler",13120,5,4,TP.TUKFIY2025.1312,01-01-2005,01-07-2026
TP.TUKFIY2025.1313,1313. Kuaför Salonları Ve Kişisel Bakım Merkezleri,1313,4,3,TP.TUKFIY2025.131,01-01-2005,01-07-2026
TP.TUKFIY2025.13131,13131. Kuaförlük Hizmetleri,13131,5,4,TP.TUKFIY2025.1313,01-01-2005,01-07-2026
TP.TUKFIY2025.13132,13132. Kişisel Bakım Hizmetleri,13132,5,4,TP.TUKFIY2025.1313,01-01-2005,01-07-2026
TP.TUKFIY2025.132,132. Diğer Kişisel Eşyalar,132,3,2,TP.TUKFIY2025.13,01-01-2005,01-07-2026
TP.TUKFIY2025.1321,1321. Mücevherat Ve Kol Saatleri,1321,4,3,TP.TUKFIY2025.132,01-01-2005,01-07-2026
TP.TUKFIY2025.13211,13211. Mücevherat Ve Kol Saatleri,13211,5,4,TP.TUKFIY2025.1321,01-01-2005,01-07-2026
TP.TUKFIY2025.1329,1329. Başka Yerde Sınıflandırılmamış Diğer Kişisel Eşyalar,1329,4,3,TP.TUKFIY2025.132,01-01-2005,01-07-2026
TP.TUKFIY2025.13291,"13291. Başka Yerde Sınıflandırılmamış Seyahat Eşyaları, Bebekler İçin Malzemeler Ve Diğer Kişisel Eşyalar",13291,5,4,TP.TUKFIY2025.1329,01-01-2005,01-07-2026
TP.TUKFIY2025.133,133. Sosyal Koruma,133,3,2,TP.TUKFIY2025.13,01-01-2005,01-07-2026
TP.TUKFIY2025.1330,1330. Sosyal Koruma,1330,4,3,TP.TUKFIY2025.133,01-01-2005,01-07-2026
TP.TUKFIY2025.13301,13301. Çocuk Bakım Hizmetleri,13301,5,4,TP.TUKFIY2025.1330,01-01-2005,01-07-2026
TP.TUKFIY2025.139,139. Diğer Hizmetler,139,3,2,TP.TUKFIY2025.13,01-01-2005,01-07-2026
TP.TUKFIY2025.1390,1390. Diğer Hizmetler,1390,4,3,TP.TUKFIY2025.139,01-01-2005,01-07-2026
TP.TUKFIY2025.13902,13902. Dini Hizmetler,13902,5,4,TP.TUKFIY2025.1390,01-12-2007,01-07-2026
TP.TUKFIY2025.13909,13909. Başka Yerde Sınıflandırılmamış Diğer Hizmetler,13909,5,4,TP.TUKFIY2025.1390,01-01-2005,01-07-2026
