dt,PY.P06.ON,PY.P04.ON,PY.P05.ON,PY.P01.ON,PY.P02.ON,PY.P03.ON
1991-02-04,64.94,64.75,65.0,,,2702.4
1991-02-05,64.92,64.75,65.0,,,2980.0
1991-02-06,64.91,64.75,65.0,,,3176.8
1991-02-07,64.93,64.75,65.0,,,3455.0
1991-02-08,64.96,64.75,65.0,,,3303.6
1991-02-11,66.92,66.75,67.0,,,3049.0
1991-02-12,66.92,66.75,67.0,,,3699.0
1991-02-13,67.93,67.75,68.0,,,3798.8
1991-02-14,68.95,68.75,69.0,,,4238.8
1991-02-15,68.96,68.75,69.0,,,4273.2
1991-02-18,68.97,68.75,69.0,,,4327.4
1991-02-19,68.94,68.75,69.0,,,3778.8
1991-02-20,68.85,68.75,69.0,,,3052.4
1991-02-21,68.86,68.75,69.0,,,2719.4
1991-02-22,68.75,68.75,68.75,,,2420.4
1991-02-25,68.75,68.75,68.75,,,1658.0
1991-02-26,68.75,68.75,68.75,,,2568.4
1991-02-27,68.75,68.75,68.75,,,2393.2
1991-02-28,69.75,69.75,69.75,,,2224.4
1991-03-01,70.75,70.75,70.75,,,1891.8
1991-03-04,102.12,96.0,110.0,,,2423.8
1991-03-05,113.48,100.0,120.0,,,2548.0
1991-03-06,125.33,105.0,135.0,,,2190.2
1991-03-07,128.15,112.0,130.0,,,2357.8
1991-03-08,112.4,60.0,137.0,,,2258.4
1991-03-11,98.81,80.0,110.0,,,2013.8
1991-03-12,114.57,100.0,120.0,,,2302.8
1991-03-13,113.64,100.0,120.0,,,2676.2
1991-03-14,125.07,110.0,175.0,,,2241.2
1991-03-15,147.39,140.0,165.0,,,2206.4
1991-03-18,107.42,100.0,120.0,,,2979.0
1991-03-19,99.69,90.0,105.0,,,2563.0
1991-03-20,70.1,70.0,80.0,,,3156.2
1991-03-21,60.0,60.0,60.0,,,4869.2
1991-03-22,72.29,50.0,180.0,,,3205.4
1991-03-25,88.37,85.0,100.0,,,1810.8
1991-03-26,102.48,95.0,110.0,,,2557.6
1991-03-27,110.42,100.0,125.0,,,3570.6
1991-03-28,115.49,110.0,120.0,,,3310.4
1991-03-29,111.73,110.0,120.0,,,2574.8
1991-04-01,110.0,110.0,110.0,,,1289.6
1991-04-02,107.3,105.0,110.0,,,2225.6
1991-04-03,112.72,110.0,115.0,,,3651.2
1991-04-04,110.17,110.0,115.0,,,3470.8
1991-04-05,110.0,110.0,110.0,,,2961.2
1991-04-08,110.0,110.0,110.0,,,3040.2
1991-04-09,110.0,110.0,110.0,,,2733.0
1991-04-10,111.79,110.0,115.0,,,2761.2
1991-04-11,115.0,115.0,115.0,,,3330.6
1991-04-12,120.0,120.0,120.0,,,3863.6
1991-04-15,120.0,120.0,120.0,,,3848.6
1991-04-16,,,,,,
1991-04-17,,,,,,
1991-04-18,,,,,,
1991-04-19,120.0,120.0,120.0,,,2800.2
1991-04-22,107.62,100.0,110.0,,,2513.2
1991-04-23,,,,,,
1991-04-24,97.81,95.0,100.0,,,3767.2
