dt,MK_F_BILESIK,UNIXTIME
1987-04-22,,"{""numberLong"":""546040800""}"
1987-04-23,,"{""numberLong"":""546127200""}"
1987-04-24,,"{""numberLong"":""546213600""}"
1987-04-27,,"{""numberLong"":""546472800""}"
1987-04-28,,"{""numberLong"":""546559200""}"
1987-04-29,,"{""numberLong"":""546645600""}"
1987-04-30,,"{""numberLong"":""546732000""}"
1987-05-01,0.0269,"{""numberLong"":""546818400""}"
1987-05-04,,"{""numberLong"":""547077600""}"
1987-05-05,,"{""numberLong"":""547164000""}"
1987-05-06,,"{""numberLong"":""547250400""}"
1987-05-07,,"{""numberLong"":""547336800""}"
1987-05-08,0.0283,"{""numberLong"":""547423200""}"
1987-05-11,,"{""numberLong"":""547682400""}"
1987-05-12,,"{""numberLong"":""547768800""}"
1987-05-13,,"{""numberLong"":""547855200""}"
1987-05-14,,"{""numberLong"":""547941600""}"
1987-05-15,0.0298,"{""numberLong"":""548028000""}"
1987-05-18,,"{""numberLong"":""548287200""}"
1987-05-19,,"{""numberLong"":""548373600""}"
1987-05-20,,"{""numberLong"":""548460000""}"
1987-05-21,,"{""numberLong"":""548546400""}"
1987-05-22,0.0322,"{""numberLong"":""548632800""}"
1987-05-25,,"{""numberLong"":""548892000""}"
1987-05-26,,"{""numberLong"":""548978400""}"
1987-05-27,,"{""numberLong"":""549064800""}"
1987-05-28,0.0395,"{""numberLong"":""549151200""}"
1987-05-29,,"{""numberLong"":""549237600""}"
1987-06-01,,"{""numberLong"":""549496800""}"
1987-06-02,,"{""numberLong"":""549583200""}"
1987-06-03,,"{""numberLong"":""549669600""}"
1987-06-04,,"{""numberLong"":""549756000""}"
1987-06-05,0.0416,"{""numberLong"":""549842400""}"
1987-06-08,,"{""numberLong"":""550101600""}"
1987-06-09,,"{""numberLong"":""550188000""}"
1987-06-10,,"{""numberLong"":""550274400""}"
1987-06-11,,"{""numberLong"":""550360800""}"
1987-06-12,0.0424,"{""numberLong"":""550447200""}"
1987-06-15,,"{""numberLong"":""550706400""}"
1987-06-16,,"{""numberLong"":""550792800""}"
1987-06-17,,"{""numberLong"":""550879200""}"
1987-06-18,,"{""numberLong"":""550965600""}"
1987-06-19,0.0418,"{""numberLong"":""551052000""}"
1987-06-22,,"{""numberLong"":""551311200""}"
1987-06-23,,"{""numberLong"":""551397600""}"
1987-06-24,,"{""numberLong"":""551484000""}"
1987-06-25,,"{""numberLong"":""551570400""}"
1987-06-26,0.0446,"{""numberLong"":""551656800""}"
1987-06-29,,"{""numberLong"":""551916000""}"
1987-06-30,,"{""numberLong"":""552002400""}"
1987-07-01,,"{""numberLong"":""552088800""}"
1987-07-02,,"{""numberLong"":""552175200""}"
1987-07-03,0.0545,"{""numberLong"":""552261600""}"
1987-07-06,,"{""numberLong"":""552520800""}"
1987-07-07,,"{""numberLong"":""552607200""}"
1987-07-08,,"{""numberLong"":""552693600""}"
1987-07-09,,"{""numberLong"":""552780000""}"
1987-07-10,0.093,"{""numberLong"":""552866400""}"
1987-07-13,,"{""numberLong"":""553125600""}"
1987-07-14,,"{""numberLong"":""553212000""}"
1987-07-15,,"{""numberLong"":""553298400""}"
1987-07-16,,"{""numberLong"":""553384800""}"
1987-07-17,,"{""numberLong"":""553471200""}"
1987-07-20,,"{""numberLong"":""553730400""}"
1987-07-21,,"{""numberLong"":""553816800""}"
1987-07-22,,"{""numberLong"":""553903200""}"
1987-07-23,,"{""numberLong"":""553989600""}"
1987-07-24,0.0907,"{""numberLong"":""554076000""}"
1987-07-27,,"{""numberLong"":""554335200""}"
1987-07-28,,"{""numberLong"":""554421600""}"
1987-07-29,,"{""numberLong"":""554508000""}"
1987-07-30,,"{""numberLong"":""554594400""}"
1987-07-31,0.1012,"{""numberLong"":""554680800""}"
1987-08-03,,"{""numberLong"":""554940000""}"
1987-08-04,,"{""numberLong"":""555026400""}"
1987-08-05,,"{""numberLong"":""555112800""}"
1987-08-06,,"{""numberLong"":""555199200""}"
1987-08-07,,"{""numberLong"":""555285600""}"
1987-08-10,,"{""numberLong"":""555544800""}"
1987-08-11,,"{""numberLong"":""555631200""}"
1987-08-12,,"{""numberLong"":""555717600""}"
1987-08-13,,"{""numberLong"":""555804000""}"
1987-08-14,0.1271,"{""numberLong"":""555890400""}"
1987-08-17,,"{""numberLong"":""556149600""}"
1987-08-18,,"{""numberLong"":""556236000""}"
1987-08-19,,"{""numberLong"":""556322400""}"
1987-08-20,,"{""numberLong"":""556408800""}"
1987-08-21,0.1332,"{""numberLong"":""556495200""}"
1987-08-24,,"{""numberLong"":""556754400""}"
1987-08-25,,"{""numberLong"":""556840800""}"
1987-08-26,,"{""numberLong"":""556927200""}"
1987-08-27,,"{""numberLong"":""557013600""}"
1987-08-28,0.1149,"{""numberLong"":""557100000""}"
1987-08-31,,"{""numberLong"":""557359200""}"
