dt,BISTTLREF.ORAN
2022-08-29,11.9492
2022-08-30,
2022-08-31,13.3325
2022-09-01,13.1944
2022-09-02,13.076
2022-09-05,13.2958
2022-09-06,13.4061
2022-09-07,13.3013
2022-09-08,12.9627
2022-09-09,12.9439
2022-09-12,12.8352
2022-09-13,13.034
2022-09-14,12.968
2022-09-15,11.7991
2022-09-16,12.6135
2022-09-19,12.7848
2022-09-20,13.0189
2022-09-21,12.9091
2022-09-22,13.4311
2022-09-23,13.3801
2022-09-26,12.8361
2022-09-27,12.5224
2022-09-28,12.3304
2022-09-29,11.3792
2022-09-30,
2022-10-03,12.3791
2022-10-04,12.4754
2022-10-05,12.0463
2022-10-06,12.3103
2022-10-07,11.9932
2022-10-10,12.116
2022-10-11,
2022-10-12,11.8221
2022-10-13,12.1033
2022-10-14,11.7381
2022-10-17,12.2633
2022-10-18,11.956
2022-10-19,12.5135
2022-10-20,13.4305
2022-10-21,11.4893
2022-10-24,10.9193
2022-10-25,10.8892
2022-10-26,10.8897
2022-10-27,10.7476
2022-10-28,11.1452
2022-10-31,11.4639
2022-11-01,10.8887
2022-11-02,
2022-11-03,11.0533
2022-11-04,10.703
2022-11-07,10.1263
2022-11-08,10.0875
2022-11-09,10.1226
2022-11-10,10.0455
2022-11-11,10.5385
2022-11-14,10.7573
2022-11-15,
2022-11-16,11.2816
2022-11-17,11.4786
2022-11-18,11.7234
2022-11-21,11.6797
2022-11-22,11.1688
2022-11-23,11.2061
2022-11-24,11.6758
2022-11-25,
2022-11-28,10.0748
2022-11-29,10.0554
2022-11-30,10.0447
2022-12-01,10.0051
2022-12-02,9.9617
2022-12-05,9.6492
2022-12-06,9.7016
2022-12-07,8.9046
2022-12-08,8.7845
2022-12-09,9.2924
2022-12-12,9.5321
2022-12-13,9.3204
2022-12-14,9.609
2022-12-15,9.6656
2022-12-16,9.591
2022-12-19,9.5469
2022-12-20,9.573
2022-12-21,9.23
2022-12-22,8.4578
2022-12-23,9.2756
2022-12-26,9.3428
2022-12-27,9.6609
2022-12-28,9.921
2022-12-29,9.9812
2022-12-30,10.2644
2023-01-02,7.7227
2023-01-03,7.7518
2023-01-04,8.598
2023-01-05,9.697
2023-01-06,9.0845
2023-01-09,9.0532
2023-01-10,8.7311
2023-01-11,8.9905
2023-01-12,
