dt,PYUK1,PYUK2,PYUK3,PYUK4
2012-03-09,48744.0,40565.0,-121.0,133.0
2012-03-16,50001.0,39983.0,31.0,151.0
2012-03-23,49351.0,40452.0,135.0,590.0
2012-03-30,50833.0,42074.0,-72.0,819.0
2012-04-06,49623.0,41082.0,57.0,-663.0
2012-04-13,49131.0,41589.0,-144.0,676.0
2012-04-20,48762.0,42506.0,23.0,622.0
2012-04-27,49748.0,42922.0,-106.0,-321.0
2012-05-04,48827.0,44133.0,-29.0,952.0
2012-05-11,47423.0,45310.0,-75.0,1839.0
2012-05-18,45127.0,43495.0,22.0,-915.0
2012-05-25,42814.0,42755.0,-180.0,-178.0
2012-06-01,43516.0,41582.0,-36.0,-1281.0
2012-06-08,45329.0,41566.0,222.0,-600.0
2012-06-15,47048.0,42851.0,190.0,1071.0
2012-06-22,49428.0,45331.0,235.0,1680.0
2012-06-29,50294.0,45504.0,287.0,645.0
2012-07-06,51399.0,47623.0,313.0,1534.0
2012-07-13,51549.0,48168.0,79.0,453.0
2012-07-20,51599.0,50623.0,34.0,1957.0
2012-07-27,52987.0,50703.0,137.0,890.0
2012-08-03,54318.0,52760.0,299.0,1263.0
2012-08-10,54927.0,52849.0,108.0,-258.0
2012-08-17,55251.0,52553.0,10.0,253.0
2012-08-24,55813.0,53263.0,169.0,346.0
2012-08-31,56024.0,52761.0,6.0,57.0
2012-09-07,57092.0,53644.0,158.0,1033.0
2012-09-14,57672.0,54530.0,66.0,561.0
2012-09-21,57454.0,54338.0,-56.0,-541.0
2012-09-28,56971.0,55539.0,119.0,740.0
2012-10-05,57153.0,56020.0,52.0,938.0
2012-10-12,58874.0,55571.0,74.0,-292.0
2012-10-19,60223.0,56769.0,189.0,525.0
2012-10-26,60499.0,57307.0,108.0,578.0
2012-11-02,61670.0,57622.0,180.0,-82.0
2012-11-09,62251.0,59045.0,-81.0,632.0
2012-11-16,60901.0,58473.0,31.0,-364.0
2012-11-23,62380.0,60113.0,2060.0,1413.0
2012-11-30,65024.0,60558.0,184.0,-239.0
2012-12-07,68027.0,61791.0,354.0,1021.0
2012-12-14,69583.0,62228.0,320.0,-118.0
2012-12-21,69227.0,61703.0,61.0,-260.0
2012-12-28,70773.0,61920.0,16.0,508.0
2013-01-04,72287.0,62649.0,192.0,1064.0
2013-01-11,73826.0,63569.0,33.0,433.0
2013-01-18,78364.0,64633.0,268.0,411.0
2013-01-25,78031.0,63932.0,28.0,-252.0
2013-02-01,72732.0,65299.0,-279.0,1150.0
2013-02-08,70995.0,63956.0,-133.0,-1119.0
2013-02-15,70463.0,66124.0,-155.0,2345.0
2013-02-22,68497.0,64218.0,-36.0,-1024.0
