dt,TRY.MT02,TRY.MT06
2009-06-26,12.38,11.42
2009-07-03,12.51,11.64
2009-07-10,12.2,11.23
2009-07-17,11.84,11.04
2009-07-24,11.52,10.65
2009-07-31,11.33,10.58
2009-08-07,11.08,10.37
2009-08-14,10.79,10.13
2009-08-21,10.55,9.94
2009-08-28,10.16,9.42
2009-09-04,9.93,9.41
2009-09-11,9.95,9.3
2009-09-18,9.77,9.15
2009-09-25,9.57,8.81
2009-10-02,9.65,9.04
2009-10-09,9.29,8.71
2009-10-16,9.08,8.45
2009-10-23,8.7,8.08
2009-10-30,8.65,8.01
2009-11-06,8.7,8.13
2009-11-13,8.75,8.09
2009-11-20,8.79,8.12
2009-11-27,8.84,7.98
2009-12-04,8.89,8.15
2009-12-11,9.06,8.26
2009-12-18,9.38,8.45
2009-12-25,9.76,8.68
2010-01-01,10.01,8.75
2010-01-08,8.95,8.39
2010-01-15,8.69,7.94
2010-01-22,8.64,7.82
2010-01-29,8.66,7.98
2010-02-05,8.74,7.93
2010-02-12,8.72,7.97
2010-02-19,8.75,7.93
2010-02-26,8.8,7.95
2010-03-05,8.86,8.05
2010-03-12,8.94,8.18
2010-03-19,8.9,8.27
2010-03-26,9.01,8.18
2010-04-02,9.01,8.4
2010-04-09,8.83,8.15
2010-04-16,8.57,8.04
2010-04-23,8.73,8.02
2010-04-30,8.75,8.15
2010-05-07,9.02,8.31
2010-05-14,9.17,8.41
2010-05-21,9.19,8.45
2010-05-28,9.4,8.49
2010-06-04,9.41,8.64
2010-06-11,9.54,8.57
2010-06-18,9.4,8.66
2010-06-25,9.53,8.61
2010-07-02,9.53,8.73
2010-07-09,9.29,8.48
2010-07-16,9.22,8.35
2010-07-23,9.07,8.25
2010-07-30,8.96,8.09
2010-08-06,8.88,8.21
2010-08-13,8.88,8.18
2010-08-20,8.78,8.22
2010-08-27,8.95,8.13
2010-09-03,8.9,8.15
2010-09-10,8.8,7.95
2010-09-17,8.93,8.28
2010-09-24,8.89,8.14
2010-10-01,8.93,8.31
2010-10-08,8.67,7.97
2010-10-15,8.56,7.93
2010-10-22,8.44,7.83
2010-10-29,8.6,7.87
2010-11-05,8.6,7.98
2010-11-12,8.71,8.03
2010-11-19,,
2010-11-26,8.78,8.21
2010-12-03,8.83,8.03
2010-12-10,8.8,8.04
2010-12-17,8.83,7.98
2010-12-24,8.64,7.69
2010-12-31,8.61,7.92
2011-01-07,8.12,7.45
2011-01-14,7.98,7.34
2011-01-21,7.97,7.18
2011-01-28,7.95,7.24
2011-02-04,8.0,7.39
2011-02-11,8.03,7.42
2011-02-18,8.0,7.43
2011-02-25,8.07,7.4
2011-03-04,8.06,7.51
2011-03-11,8.14,7.58
2011-03-18,8.25,7.7
2011-03-25,8.26,7.62
2011-04-01,8.33,7.79
2011-04-08,8.26,7.75
2011-04-15,8.35,7.84
2011-04-22,8.51,7.93
2011-04-29,8.65,7.91
2011-05-06,8.86,8.06
2011-05-13,8.93,8.06
2011-05-20,8.88,8.15
2011-05-27,9.02,8.1
2011-06-03,9.18,8.14
2011-06-10,9.17,8.27
2011-06-17,9.39,8.44
2011-06-24,9.41,8.49
2011-07-01,9.8,8.75
2011-07-08,9.62,8.63
2011-07-15,9.63,8.7
2011-07-22,9.68,8.73
2011-07-29,9.57,8.62
2011-08-05,9.71,8.68
2011-08-12,9.47,8.46
2011-08-19,9.28,8.45
2011-08-26,9.16,8.37
2011-09-02,8.74,8.04
2011-09-09,9.17,8.23
2011-09-16,8.91,8.19
2011-09-23,8.88,8.12
2011-09-30,9.02,8.25
2011-10-07,8.86,7.97
2011-10-14,8.86,8.14
2011-10-21,8.89,8.21
2011-10-28,9.07,8.34
2011-11-04,9.38,8.57
2011-11-11,9.22,8.36
2011-11-18,9.63,8.9
2011-11-25,9.7,8.95
2011-12-02,9.83,9.15
2011-12-09,10.14,9.27
2011-12-16,10.29,9.5
2011-12-23,10.71,10.02
2011-12-30,11.42,10.6
2012-01-06,10.67,9.96
2012-01-13,10.88,10.07
2012-01-20,10.49,10.05
2012-01-27,10.71,10.05
2012-02-03,10.81,10.16
2012-02-10,10.72,9.97
2012-02-17,10.81,10.01
2012-02-24,10.6,9.85
2012-03-02,10.49,9.75
2012-03-09,10.45,9.65
2012-03-16,10.42,9.66
2012-03-23,10.36,9.71
2012-03-30,10.38,9.81
2012-04-06,10.35,9.62
2012-04-13,10.36,9.66
2012-04-20,10.39,9.8
2012-04-27,10.42,9.85
2012-05-04,10.4,9.67
2012-05-11,10.52,10.06
2012-05-18,10.67,10.12
2012-05-25,10.62,10.08
2012-06-01,10.56,10.15
2012-06-08,10.73,10.16
2012-06-15,10.91,10.31
2012-06-22,11.06,10.39
2012-06-29,11.13,10.35
2012-07-06,10.73,10.09
2012-07-13,10.33,9.78
2012-07-20,10.35,9.79
2012-07-27,10.29,9.57
2012-08-03,10.14,9.52
2012-08-10,9.96,9.33
2012-08-17,9.78,9.23
2012-08-24,9.65,9.03
2012-08-31,9.57,8.92
2012-09-07,9.38,8.59
2012-09-14,9.27,8.6
2012-09-21,9.09,8.42
2012-09-28,8.96,8.46
2012-10-05,8.77,8.19
2012-10-12,8.64,8.08
2012-10-19,8.62,7.99
2012-10-26,8.49,7.71
2012-11-02,8.48,7.91
2012-11-09,8.41,7.79
2012-11-16,8.33,7.65
2012-11-23,8.22,7.54
2012-11-30,8.1,7.33
2012-12-07,8.02,7.44
2012-12-14,8.07,7.48
2012-12-21,8.11,7.53
2012-12-28,8.17,7.57
2013-01-04,7.92,7.23
2013-01-11,7.77,7.19
2013-01-18,7.77,7.2
2013-01-25,7.7,7.06
2013-02-01,7.63,7.04
2013-02-08,7.5,6.88
2013-02-15,7.39,6.85
2013-02-22,7.27,6.7
2013-03-01,7.17,6.63
2013-03-08,7.14,6.47
2013-03-15,7.09,6.54
2013-03-22,7.04,6.51
2013-03-29,7.15,6.59
2013-04-05,7.11,6.53
2013-04-12,7.01,6.5
2013-04-19,6.95,6.34
2013-04-26,6.8,6.26
2013-05-03,6.77,6.19
2013-05-10,6.75,6.16
2013-05-17,6.61,6.03
2013-05-24,6.31,5.76
2013-05-31,6.15,5.59
2013-06-07,6.32,5.74
2013-06-14,6.58,5.92
2013-06-21,6.78,6.17
2013-06-28,7.52,6.72
2013-07-05,7.4,6.63
2013-07-12,7.69,6.95
2013-07-19,7.84,7.05
2013-07-26,8.02,7.15
2013-08-02,8.13,7.43
2013-08-09,8.09,7.26
2013-08-16,8.47,7.75
2013-08-23,8.41,7.6
2013-08-30,8.66,7.77
2013-09-06,8.66,7.91
2013-09-13,8.61,7.82
2013-09-20,8.94,8.08
2013-09-27,8.87,8.14
2013-10-04,8.82,7.88
2013-10-11,8.65,7.98
2013-10-18,7.97,7.41
2013-10-25,8.46,7.84
2013-11-01,8.29,7.46
2013-11-08,8.34,7.52
2013-11-15,8.41,7.67
2013-11-22,8.29,7.55
2013-11-29,8.36,7.69
2013-12-06,8.47,7.57
2013-12-13,8.6,7.88
2013-12-20,8.85,7.99
2013-12-27,8.91,8.04
2014-01-03,8.89,8.06
2014-01-10,8.76,7.81
2014-01-17,8.82,8.01
2014-01-24,8.85,7.9
2014-01-31,9.79,9.2
2014-02-07,10.3,9.75
2014-02-14,10.65,10.0
2014-02-21,10.75,10.03
2014-02-28,10.81,10.12
2014-03-07,11.08,10.42
2014-03-14,11.12,10.45
2014-03-21,11.4,10.69
2014-03-28,11.65,10.9
2014-04-04,11.41,10.73
2014-04-11,11.15,10.53
2014-04-18,10.77,10.27
2014-04-25,10.75,10.2
2014-05-02,10.57,10.11
2014-05-09,10.6,10.14
2014-05-16,10.59,9.99
2014-05-23,10.43,9.87
2014-05-30,10.28,9.67
2014-06-06,10.2,9.64
2014-06-13,10.11,9.6
2014-06-20,10.08,9.57
2014-06-27,9.92,9.52
2014-07-04,9.64,9.14
2014-07-11,9.41,9.02
2014-07-18,9.31,8.88
2014-07-25,9.06,8.62
2014-08-01,8.92,8.4
2014-08-08,9.04,8.56
2014-08-15,9.07,8.55
2014-08-22,9.08,8.56
2014-08-29,9.14,8.56
2014-09-05,9.04,8.46
2014-09-12,9.16,8.59
2014-09-19,9.24,8.67
2014-09-26,9.24,8.66
2014-10-03,9.32,8.7
2014-10-10,9.23,8.61
2014-10-17,9.37,8.85
2014-10-24,9.4,8.85
2014-10-31,9.35,8.78
2014-11-07,9.51,8.84
2014-11-14,9.48,8.89
2014-11-21,9.52,8.96
2014-11-28,9.53,8.96
2014-12-05,9.47,8.84
2014-12-12,9.6,9.04
2014-12-19,9.81,9.23
2014-12-26,10.13,9.49
2015-01-02,10.22,9.43
2015-01-09,9.85,9.22
2015-01-16,9.65,9.09
2015-01-23,9.64,9.04
2015-01-30,9.54,8.98
2015-02-06,9.49,8.88
2015-02-13,9.72,9.03
2015-02-20,9.69,9.1
2015-02-27,9.7,9.09
2015-03-06,9.69,9.07
2015-03-13,9.89,9.24
2015-03-20,9.96,9.34
2015-03-27,10.0,9.4
2015-04-03,10.05,9.42
2015-04-10,10.07,9.5
2015-04-17,10.04,9.52
2015-04-24,10.12,9.5
2015-05-01,10.28,9.63
2015-05-08,10.29,9.71
2015-05-15,10.31,9.72
2015-05-22,10.13,9.48
2015-05-29,10.21,9.58
2015-06-05,10.27,9.66
2015-06-12,10.3,9.71
2015-06-19,10.52,9.87
2015-06-26,10.52,9.88
2015-07-03,10.68,9.99
2015-07-10,10.45,9.91
2015-07-17,9.425,8.56
2015-07-24,10.52,9.93
2015-07-31,10.66,10.0
2015-08-07,10.7,9.99
2015-08-14,10.75,10.1
2015-08-21,10.79,10.06
2015-08-28,11.05,10.28
2015-09-04,10.98,10.19
2015-09-11,11.11,10.28
2015-09-18,11.38,10.58
2015-09-25,11.675,11.135
2015-10-02,11.67,10.8
2015-10-09,11.49,10.64
2015-10-16,11.41,10.52
2015-10-23,11.31,10.46
2015-10-30,11.1,10.4
2015-11-06,11.15,10.46
2015-11-13,11.14,10.46
2015-11-20,11.09,10.44
2015-11-27,11.15,10.45
2015-12-04,11.11,10.37
2015-12-11,11.33,10.59
2015-12-18,11.74,10.88
2015-12-25,11.93,10.97
2016-01-01,12.17,11.15
2016-01-08,11.68,10.85
2016-01-15,11.56,10.73
2016-01-22,11.68,10.78
2016-01-29,11.72,10.75
2016-02-05,11.76,10.87
2016-02-12,11.93,10.99
2016-02-19,11.9,11.06
2016-02-26,12.05,11.15
2016-03-04,11.92,10.97
2016-03-11,11.86,10.98
2016-03-18,12.0,11.07
2016-03-25,11.82,11.03
2016-04-01,12.02,11.08
2016-04-08,11.84,10.97
2016-04-15,11.62,10.84
2016-04-22,11.42,10.64
2016-04-29,11.28,10.54
2016-05-06,11.3,10.47
2016-05-13,11.25,10.54
2016-05-20,11.3,10.54
2016-05-27,11.23,10.43
2016-06-03,11.12,10.3
2016-06-10,11.11,10.3
2016-06-17,11.05,10.28
2016-06-24,10.97,10.12
2016-07-01,10.97,10.19
2016-07-08,10.37,9.67
2016-07-15,10.81,10.09
2016-07-22,10.69,9.92
2016-07-29,10.76,9.89
2016-08-05,10.76,9.89
2016-08-12,10.75,9.87
2016-08-19,10.73,9.94
2016-08-26,10.84,10.01
2016-09-02,10.67,9.78
2016-09-09,10.83,10.05
2016-09-16,10.07,9.48
2016-09-23,10.87,10.08
2016-09-30,10.88,10.02
2016-10-07,10.8,9.89
2016-10-14,10.76,9.83
2016-10-21,10.53,9.7
2016-10-28,10.53,9.75
2016-11-04,10.56,9.77
2016-11-11,10.42,9.68
2016-11-18,10.54,9.64
2016-11-25,10.17,9.5
2016-12-02,10.35,9.59
2016-12-09,10.43,9.57
2016-12-16,10.49,9.45
2016-12-23,10.51,9.6
2016-12-30,10.64,9.64
2017-01-06,10.49,9.5
2017-01-13,10.49,9.43
2017-01-20,10.5,9.49
2017-01-27,10.42,9.57
2017-02-03,10.75,9.68
2017-02-10,10.86,9.9
2017-02-17,11.0,9.96
2017-02-24,11.09,9.8
2017-03-03,10.73,9.73
2017-03-10,10.94,9.87
2017-03-17,11.09,10.01
2017-03-24,11.3,10.19
2017-03-31,11.49,10.42
2017-04-07,11.49,10.37
2017-04-14,11.64,10.64
2017-04-21,11.83,10.78
2017-04-28,12.07,10.93
2017-05-05,12.12,10.96
2017-05-12,12.45,11.39
2017-05-19,12.73,11.38
2017-05-26,12.57,11.62
2017-06-02,12.81,11.43
2017-06-09,12.56,11.66
2017-06-16,12.94,11.89
2017-06-23,13.23,12.15
2017-06-30,13.07,12.05
2017-07-07,13.06,11.94
2017-07-14,12.91,11.94
2017-07-21,12.7,11.87
2017-07-28,12.91,11.81
2017-08-04,12.73,11.86
2017-08-11,12.79,11.93
2017-08-18,12.89,11.98
2017-08-25,12.83,11.89
2017-09-01,12.56,11.6
2017-09-08,12.67,11.74
2017-09-15,12.76,11.93
2017-09-22,12.89,11.97
2017-09-29,13.08,12.15
2017-10-06,13.1,11.74
2017-10-13,12.74,11.94
2017-10-20,12.8,12.02
2017-10-27,12.86,12.04
2017-11-03,13.02,11.96
2017-11-10,12.98,12.01
2017-11-17,13.0,12.14
2017-11-24,13.04,12.17
2017-12-01,13.04,12.07
2017-12-08,13.28,12.15
2017-12-15,13.42,12.22
2017-12-22,13.62,12.59
2017-12-29,13.85,12.75
2018-01-05,13.44,12.19
2018-01-12,13.55,12.32
2018-01-19,13.4,12.39
2018-01-26,13.34,12.32
2018-02-02,13.58,12.4
2018-02-09,13.53,12.47
2018-02-16,13.44,12.37
2018-02-23,13.43,12.51
2018-03-02,13.24,12.24
2018-03-09,13.48,12.48
2018-03-16,13.65,12.56
2018-03-23,13.54,12.67
2018-03-30,13.72,12.81
2018-04-06,13.54,12.52
2018-04-13,13.49,12.63
2018-04-20,13.86,12.72
2018-04-27,13.45,12.63
2018-05-04,13.77,12.66
2018-05-11,13.82,12.82
2018-05-18,13.92,12.94
2018-05-25,14.17,13.27
2018-06-01,14.49,13.64
2018-06-08,15.33,14.51
2018-06-15,16.4,15.21
2018-06-22,16.93,15.9
2018-06-29,17.35,16.21
2018-07-06,16.99,15.99
2018-07-13,17.4,16.33
2018-07-20,17.37,16.38
2018-07-27,17.91,16.76
2018-08-03,17.62,16.45
2018-08-10,18.02,16.83
2018-08-17,18.74,17.69
2018-08-24,17.47,16.64
2018-08-31,19.5,18.48
2018-09-07,20.64,19.41
2018-09-14,23.33,22.16
