dt,AB.N06
2022-05-06,222390501.0
2022-05-13,176993543.0
2022-05-20,152223298.0
2022-05-27,199511076.0
2022-06-03,172884800.0
2022-06-10,140203341.0
2022-06-17,127600671.0
2022-06-24,130637471.0
2022-07-01,125184709.0
2022-07-08,104817759.0
2022-07-15,110969784.0
2022-07-22,118105414.0
2022-07-29,163261090.0
2022-08-05,211824218.0
2022-08-12,281261933.0
2022-08-19,249441908.0
2022-08-26,228982769.0
2022-09-02,256039621.0
2022-09-09,256621401.0
2022-09-16,220556539.0
2022-09-23,177302733.0
2022-09-30,179900087.0
2022-10-07,230886163.0
2022-10-14,261478205.0
2022-10-21,214663172.0
2022-10-28,249925107.0
2022-11-04,270255331.0
2022-11-11,338707322.0
2022-11-18,348590049.0
2022-11-25,362915053.0
2022-12-02,430272695.0
2022-12-09,498205852.0
2022-12-16,523936576.0
2022-12-23,497410081.0
2022-12-30,514984319.0
2023-01-06,455489463.0
2023-01-13,466889616.0
2023-01-20,501578843.0
2023-01-27,484844233.0
2023-02-03,509093998.0
2023-02-10,459697691.0
2023-02-17,402962120.0
2023-02-24,380789546.0
2023-03-03,390262226.0
2023-03-10,353057192.0
2023-03-17,379267225.0
2023-03-24,360025144.0
2023-03-31,353625802.0
2023-04-07,264885281.0
2023-04-14,232594186.0
2023-04-21,160741918.0
2023-04-28,123478169.0
2023-05-05,131981696.0
2023-05-12,45455385.0
2023-05-19,-2989226.0
2023-05-26,-87663328.0
2023-06-02,-118235902.0
2023-06-09,-73944684.0
2023-06-16,11184097.0
2023-06-23,217102320.0
2023-06-30,253709124.0
2023-07-07,342902108.0
2023-07-14,345998933.0
2023-07-21,367874052.0
2023-07-28,293379923.0
2023-08-04,423621687.0
2023-08-11,425314553.0
2023-08-18,425614421.0
2023-08-25,388434280.0
2023-09-01,430765800.0
2023-09-08,436324451.0
2023-09-15,473247879.0
2023-09-22,648978676.0
2023-09-29,564926772.0
2023-10-06,570814239.0
2023-10-13,611121563.0
2023-10-20,630683902.0
2023-10-27,706651630.0
2023-11-03,700321800.0
2023-11-10,724641437.0
2023-11-17,830531495.0
2023-11-24,1030453722.0
2023-12-01,1002287610.0
2023-12-08,1101620947.0
2023-12-15,1077452179.0
2023-12-22,1166102262.0
2023-12-29,1027379437.0
2024-01-05,959541520.0
2024-01-12,883683834.0
2024-01-19,711548217.0
2024-01-26,927028480.0
2024-02-02,849794407.0
2024-02-09,879465279.0
2024-02-16,873607161.0
2024-02-23,694859720.0
2024-03-01,638871418.0
2024-03-08,662375442.0
2024-03-15,629138982.0
2024-03-22,491307141.0
2024-03-29,498568314.0
2024-04-05,628798138.0
2024-04-12,669739028.0
2024-04-19,488580699.0
2024-04-26,454945726.0
2024-05-03,681262677.0
2024-05-10,993371991.0
2024-05-17,1088195880.0
2024-05-24,1296889859.0
2024-05-31,1466034312.0
2024-06-07,1529231845.0
2024-06-14,1514728273.0
2024-06-21,1460793975.0
2024-06-28,1293851269.0
2024-07-05,1415662227.0
2024-07-12,1566843197.0
2024-07-19,1592127926.0
2024-07-26,1569748164.0
2024-08-02,1701908369.0
2024-08-09,1568765982.0
2024-08-16,1604360553.0
2024-08-23,1478854872.0
2024-08-30,1387014867.0
2024-09-06,1347561723.0
2024-09-13,1653491686.0
2024-09-20,1759153857.0
2024-09-27,1845288654.0
2024-10-04,1913333528.0
2024-10-11,1991523378.0
2024-10-18,2069385832.0
2024-10-25,2081850827.0
2024-11-01,2090360541.0
2024-11-08,2075677742.0
2024-11-15,2025725633.0
2024-11-22,2097350659.0
2024-11-29,2218602999.0
2024-12-06,2256445132.0
2024-12-13,2280086866.0
2024-12-20,2163797500.0
2024-12-27,2239483153.0
2025-01-03,2385594537.0
2025-01-10,2470941839.0
2025-01-17,2529953758.0
2025-01-24,2623171185.0
2025-01-31,2562390170.0
2025-02-07,2591908986.0
2025-02-14,2817155225.0
2025-02-21,2609049521.0
2025-02-28,2486991356.0
2025-03-07,2701371244.0
2025-03-14,2700242796.0
2025-03-21,2354360032.0
2025-03-28,2127337056.0
2025-04-04,1844013965.0
2025-04-11,1471966479.0
2025-04-18,1470330405.0
2025-04-25,1338474750.0
2025-05-02,1258321780.0
2025-05-09,1449060778.0
2025-05-16,1544856245.0
2025-05-23,1861070339.0
2025-05-30,1926358554.0
2025-06-06,2038139582.0
2025-06-13,2149028494.0
2025-06-20,1899988683.0
2025-06-27,1840730572.0
2025-07-04,2280155863.0
2025-07-11,2390288158.0
2025-07-18,2524616427.0
2025-07-25,2603310961.0
2025-08-01,2560356551.0
2025-08-08,2742097391.0
2025-08-15,2850125678.0
2025-08-22,2931836278.0
2025-08-29,3016834634.0
2025-09-05,2925621764.0
2025-09-12,2868332399.0
2025-09-19,2903202255.0
2025-09-26,3010334264.0
2025-10-03,3124944722.0
2025-10-10,3298723804.0
2025-10-17,3325792509.0
2025-10-24,2839699364.0
2025-10-31,2903680157.0
2025-11-07,3079285484.0
2025-11-14,3043395381.0
2025-11-21,2933639767.0
