dt,KREDI.L001
2019-11-01,2467201954.0
2019-11-08,2470825490.0
2019-11-15,2487269026.0
2019-11-22,2481876409.0
2019-11-29,2501534597.0
2019-12-06,2507897724.0
2019-12-13,2523028643.0
2019-12-20,2542706791.0
2019-12-27,2564868622.0
2020-01-03,2562176144.0
2020-01-10,2552662302.0
2020-01-17,2560827013.0
2020-01-24,2572741710.0
2020-01-31,2595585732.0
2020-02-07,2602096285.0
2020-02-14,2617000530.0
2020-02-21,2627969087.0
2020-02-28,2671319794.0
2020-03-06,2672260904.0
2020-03-13,2708516560.0
2020-03-20,2749744247.0
2020-03-27,2768395332.0
2020-04-03,2807290412.0
2020-04-10,2833365382.0
2020-04-17,2899082661.0
2020-04-24,2954654689.0
2020-05-01,2998580516.0
2020-05-08,3047472697.0
2020-05-15,3036170973.0
2020-05-22,3028738129.0
2020-05-29,3052801812.0
2020-06-05,3067306917.0
2020-06-12,3097535724.0
2020-06-19,3114677339.0
2020-06-26,3141042957.0
2020-07-03,3150704032.0
2020-07-10,3175933105.0
2020-07-17,3192770911.0
2020-07-24,3218613551.0
2020-07-31,3264349098.0
2020-08-07,3318260113.0
2020-08-14,3346657906.0
2020-08-21,3336931503.0
2020-08-28,3359054242.0
2020-09-04,3374058648.0
2020-09-11,3390837009.0
2020-09-18,3402564980.0
2020-09-25,3406806054.0
2020-10-02,3428785142.0
2020-10-09,3455486826.0
2020-10-16,3454336479.0
2020-10-23,3472301466.0
2020-10-30,3532144817.0
2020-11-06,3568207079.0
2020-11-13,3459998961.0
2020-11-20,3463484381.0
2020-11-27,3506541172.0
2020-12-04,3511541700.0
2020-12-11,3518496024.0
2020-12-18,3496372478.0
2020-12-25,3483467961.0
2021-01-01,3470055835.0
2021-01-08,3436801381.0
2021-01-15,3444534793.0
2021-01-22,3442215943.0
2021-01-29,3445966108.0
2021-02-05,3400014841.0
2021-02-12,3411443411.0
2021-02-19,3407568699.0
2021-02-26,3485653885.0
2021-03-05,3503669091.0
2021-03-12,3524276877.0
2021-03-19,3493460741.0
2021-03-26,3605919171.0
2021-04-02,3628181929.0
2021-04-09,3647181177.0
2021-04-16,3640466135.0
2021-04-23,3672014711.0
2021-04-30,3687597976.0
2021-05-07,3674951174.0
2021-05-14,3665760674.0
2021-05-21,3677972212.0
2021-05-28,3715784766.0
2021-06-04,3745239709.0
2021-06-11,3716245298.0
2021-06-18,3751674378.0
2021-06-25,3768865877.0
2021-07-02,3773019889.0
2021-07-09,3779089380.0
2021-07-16,3757186595.0
2021-07-23,3753321183.0
2021-07-30,3752176711.0
2021-08-06,3769541068.0
2021-08-13,3775466925.0
2021-08-20,3774456884.0
2021-08-27,3783863534.0
2021-09-03,3781797932.0
2021-09-10,3813299644.0
2021-09-17,3839415482.0
2021-09-24,3884280824.0
2021-10-01,3899130916.0
2021-10-08,3905566584.0
2021-10-15,3963368135.0
2021-10-22,4024798928.0
2021-10-29,4039441513.0
2021-11-05,4068542059.0
2021-11-12,4112138238.0
2021-11-19,4274918969.0
2021-11-26,4484955758.0
2021-12-03,4717370321.0
2021-12-10,4759045226.0
2021-12-17,5127476838.0
2021-12-24,4485632418.0
2021-12-31,4721345123.0
2022-01-07,4779085192.0
2022-01-14,4779615542.0
2022-01-21,4761184612.0
2022-01-28,4794119759.0
2022-02-04,4822579161.0
2022-02-11,4846141664.0
2022-02-18,4904702239.0
2022-02-25,5005406638.0
2022-03-04,5030724982.0
2022-03-11,5166299248.0
2022-03-18,5205751484.0
2022-03-25,5268245842.0
2022-04-01,5305318583.0
2022-04-08,5325200518.0
2022-04-15,5342746160.0
2022-04-22,5388276251.0
2022-04-29,5451029219.0
2022-05-06,5451332276.0
2022-05-13,5574539730.0
2022-05-20,5698341042.0
2022-05-27,5843425481.0
2022-06-03,5919926137.0
2022-06-10,6038180372.0
2022-06-17,6090253607.0
2022-06-24,6134308816.0
2022-07-01,6037839615.0
2022-07-08,6093203166.0
2022-07-15,6083525267.0
2022-07-22,6159331648.0
2022-07-29,6235823918.0
2022-08-05,6259004734.0
2022-08-12,6318372296.0
2022-08-19,6344300484.0
2022-08-26,6371952753.0
2022-09-02,6391988669.0
2022-09-09,6433181108.0
2022-09-16,6459137135.0
2022-09-23,6484921468.0
2022-09-30,6570749849.0
2022-10-07,6587351872.0
2022-10-14,6628166670.0
2022-10-21,6648734794.0
2022-10-28,6751925512.0
2022-11-04,6770860261.0
2022-11-11,6836760245.0
2022-11-18,6893985915.0
2022-11-25,6953699570.0
2022-12-02,7005336863.0
2022-12-09,7066032902.0
2022-12-16,7129238054.0
2022-12-23,7208164175.0
2022-12-30,7285133891.0
2023-01-06,7284973855.0
2023-01-13,7385820271.0
2023-01-20,7419421769.0
2023-01-27,7507980929.0
2023-02-03,7580490947.0
2023-02-10,7589500089.0
2023-02-17,7614768688.0
2023-02-24,7711269243.0
2023-03-03,7796329313.0
2023-03-10,7875304616.0
2023-03-17,7948292090.0
2023-03-24,8067096107.0
2023-03-31,8210991544.0
2023-04-07,8308256529.0
2023-04-14,8436353502.0
2023-04-21,8462942062.0
2023-04-28,8572113860.0
2023-05-05,8652848752.0
2023-05-12,8740869237.0
2023-05-19,8746004586.0
2023-05-26,8804344094.0
2023-06-02,8921389324.0
2023-06-09,9255139729.0
2023-06-16,9301455357.0
2023-06-23,9489170562.0
2023-06-30,9564604472.0
2023-07-07,9562740833.0
2023-07-14,9699021289.0
2023-07-21,9806962649.0
2023-07-28,9846895191.0
2023-08-04,9888394748.0
2023-08-11,9928303178.0
2023-08-18,9929499612.0
2023-08-25,9923805535.0
2023-09-01,10003425405.0
2023-09-08,10032887679.0
2023-09-15,10079808593.0
2023-09-22,10163191310.0
2023-09-29,10258286970.0
2023-10-06,10247617519.0
2023-10-13,10318861298.0
2023-10-20,10361831417.0
2023-10-27,10479350311.0
2023-11-03,10556223849.0
2023-11-10,10597019465.0
2023-11-17,10673432825.0
2023-11-24,10786614391.0
2023-12-01,10876930933.0
2023-12-08,10864984030.0
2023-12-15,10944472638.0
2023-12-22,11048070025.0
2023-12-29,11189475576.0
2024-01-05,11226807945.0
2024-01-12,11312319582.0
2024-01-19,11297539144.0
2024-01-26,11389691561.0
2024-02-02,11492974432.0
2024-02-09,11553574403.0
2024-02-16,11613295425.0
2024-02-23,11746218586.0
2024-03-01,11925565995.0
2024-03-08,12145415501.0
2024-03-15,12213953509.0
2024-03-22,12262011140.0
2024-03-29,12415546698.0
2024-04-05,12429390850.0
2024-04-12,12448929845.0
2024-04-19,12443380781.0
2024-04-26,12643010256.0
2024-05-03,12681194719.0
2024-05-10,12708863994.0
2024-05-17,12743894947.0
2024-05-24,12933975026.0
2024-05-31,13061228989.0
2024-06-07,13067977104.0
2024-06-14,13216237254.0
2024-06-21,13181407613.0
2024-06-28,13359467184.0
2024-07-05,13386651978.0
2024-07-12,13502338666.0
2024-07-19,13465272744.0
2024-07-26,13545101716.0
2024-08-02,13672892262.0
2024-08-09,13777169733.0
2024-08-16,13817079036.0
2024-08-23,14010451773.0
